title,singers,album,download_link,directors,year,film,cast
Deshnu Challo,['Hans Raj Hans'],23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=2Iu8uth7LXU&feature=plcp,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Jogiya Ve,['Alka Yagnik'],23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=fSFID_Qkdy0&feature=plcp,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Watan Paraston Ki,"['Hans Raj Hans', 'Veer Rajinder']",23rd March 1931 - Shaheed,https://www.youtube.com/watch?v=lzJMCGxY0VE,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Pagadi Sambhaal Jatta,['Veer Rajinder'],23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=flDqNichrH8&feature=plcp,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Sarfaroshi Ki Tamanna,"['Vinod Rathod', 'Mohammad Salamat', 'Bhupinder Singh']",23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=wNN1y79qfYM&feature=plcp,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Aye Watan,['Veer Rajinder'],23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=fWJxHviZMgg&feature=plcp,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Khush Raho,['Veer Rajinder'],23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=k5A9S3ORgjI,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Mera Rang De Basanti Chola,"['Udit Narayan', 'Hans Raj Hans']",23rd March 1931 - Shaheed,http://www.youtube.com/watch?v=B1ZL_zNIlt4&feature=plcp,['Anand Raj Anand'],2002,23rd March 1931 - Shaheed,
Soliloqi / Title Song,"['Amitabh Bachchan', 'Remo Fernandes', 'Sonu Nigam']",Aankhen,http://www.youtube.com/watch?v=NqgvSXHuVDU,['Aadesh Shrivastava'],2002,Aankhen,
Gustakhiyan,"['Vasundhara Das', 'Aadesh Shrivastava']",Aankhen,http://www.youtube.com/watch?v=Bxb8G7RwGPU,['Aadesh Shrivastava'],2002,Aankhen,
Phatela Jeb Sil Jaayega,"['Aadesh Shrivastava', 'Nitin Raikwar', 'Arun Bakshi']",Aankhen,http://www.youtube.com/watch?v=9IRETsJ9-UI,"['Aadesh Shrivastava', 'Nitin Raikwar', 'Jatin - Lalit']",2002,Aankhen,
Chhalka Chhalka,['Alka Yagnik'],Aankhen,http://www.youtube.com/watch?v=OMQMuaLM6pE,['Jatin - Lalit'],2002,Aankhen,
Na Marte Hum,['Asha Bhosle'],Aap Ki Asha,https://www.youtube.com/watch?v=pPhk_lLlEEM,['Asha Bhosle'],2002,,
Aap Mujhe Achhe Lagne Lage,"['Abhijeet', 'Alka Yagnik']",Aap Mujhe Achche Lagne Lage,https://www.youtube.com/watch?v=Ohbiwb9eEzA,['Rajesh Roshan'],2002,Aap Mujhe Achche Lagne Lage,
Kuch Hum Mein Aisi Baaten Hai,['Sonu Nigam'],Aap Mujhe Achche Lagne Lage,https://www.youtube.com/watch?v=PhG2g3qfyrU,['Rajesh Roshan'],2002,Aap Mujhe Achche Lagne Lage,
O Ri Gori Chalo Ri Chori Chori,"['Udit Narayan', 'Pamela Jain']",Aap Mujhe Achche Lagne Lage,https://www.youtube.com/watch?v=3C25_McXfLU,['Rajesh Roshan'],2002,Aap Mujhe Achche Lagne Lage,
Hawaon Ne Yeh Kaha,['Udit Narayan'],Aap Mujhe Achche Lagne Lage,https://www.youtube.com/watch?v=bRJM24_4MUo,['Rajesh Roshan'],2002,Aap Mujhe Achche Lagne Lage,
We Wish You A Great Life,"['Alka Yagnik', 'KK', 'Jack Gaud']",Aap Mujhe Achche Lagne Lage,https://www.youtube.com/watch?v=xyfmDWA7HHk,['Rajesh Roshan'],2002,Aap Mujhe Achche Lagne Lage,
Deewane Aate Jaate,"['Sonu Nigam', 'Alka Yagnik', 'Kunal Ganjawala']",Ab Ke Baras,https://www.youtube.com/watch?v=fNnLy5r5DXQ,['Anu Malik'],2002,Ab Ke Baras,
Pyaar Mohabbat,"['Udit Narayan', 'Anuradha Paudwal']",Ab Ke Baras,http://www.youtube.com/watch?v=nfs999jpW2I,['Anu Malik'],2002,Ab Ke Baras,
Saari Umar Main Rahoon,['Sonu Nigam'],Ab Ke Baras,https://www.youtube.com/watch?v=-zXgldV0LZU,['Anu Malik'],2002,Ab Ke Baras,
Aaya Maahi,"['Sukhwinder Singh', 'Richa Sharma', 'Sunidhi Chauhan']",Ab Ke Baras,http://www.youtube.com/watch?v=qY18zxEezvE,['Anu Malik'],2002,Ab Ke Baras,
Main Pyaar Mein Hoon,"['Shaan', 'Anuradha Paudwal']",Ab Ke Baras,https://www.youtube.com/watch?v=-J2nG_PpWN0,['Anu Malik'],2002,Ab Ke Baras,
Mujhe Rabb Se Pyaar,"['Adnan Sami', 'Anuradha Sriram']",Ab Ke Baras,http://www.youtube.com/watch?v=n0FTq-G7rEw,['Anu Malik'],2002,Ab Ke Baras,
Hoga Hoga,"['Priti', 'Pinky']",Ab Ke Baras,http://www.youtube.com/watch?v=onfbj7pH-j8,['Anu Malik'],2002,Ab Ke Baras,
Pyaar Mohabbat (Sad),"['Sonu Nigam', 'Anuradha Paudwal']",Ab Ke Baras,https://www.youtube.com/watch?v=vp4txlVPVqM,['Anu Malik'],2002,Ab Ke Baras,
Awaara Dil (Club Mix),"['Sonu Nigam', 'Anuradha Paudwal']",Ab Ke Baras,https://www.youtube.com/watch?v=3jrqQZYNlHw,['Anu Malik'],2002,Ab Ke Baras,
Gore Tan Se Sarakta Jaye,"['Sonu Nigam', 'Alka Yagnik', 'Sanjeevani']",Akhiyon Se Goli Maare,http://www.youtube.com/watch?v=5EnyGKw67Oc,['Anand - Milind'],2002,Akhiyon Se Goli Maare,
Ladka Mud Mud Ke Maare,"['Vinod Rathod', 'Alka Yagnik']",Akhiyon Se Goli Maare,http://www.youtube.com/watch?v=56-FJLcVlRk,['Anand - Milind'],2002,Akhiyon Se Goli Maare,
O Chhori Gori Gori,"['Sonu Nigam', 'Jaspinder Narula']",Akhiyon Se Goli Maare,http://www.youtube.com/watch?v=iMbvz1Zgigk,['Anand - Milind'],2002,Akhiyon Se Goli Maare,
