title,singers,album,download_link,directors,year,film,cast
18 +,"['NKR', 'Mr. Maddy', 'Aman - I']",18 +,https://www.youtube.com/watch?v=TayW_BMoaFo,['Dr. Love'],2017,,
Sunn Le Zara,['Arnab Dutta'],1921,https://www.youtube.com/watch?v=EN32N-HlGtE,['Harish Sagane'],2017,1921,
Kuch Iss Tarah,['Arnab Dutta'],1921,https://www.youtube.com/watch?v=W-f8SY990ck,['Harish Sagane'],2017,1921,
Yaara,['Arnab Dutta'],1921,https://www.youtube.com/watch?v=d1qqxZ5elz0,['Harish Sagane'],2017,1921,
Tere Bina,"['Arijit Singh', 'Akanksha Sharma']",1921,https://www.youtube.com/watch?v=2qvsuXfjBsM,['Asad Khan'],2017,1921,
2 Shots,['Mika Singh'],2 Shots,https://www.youtube.com/watch?v=ERQeJeZ0t14,"['Mika Singh', 'Dhamma Sirhind']",2017,,
Black Magic,"['Aditya Narayan', 'Arun Dev Yadav']",22 Days,https://www.youtube.com/watch?v=SXBPpHEn-6k,['Parivesh Singh'],2017,22 Days,
Ilaahi,"['Palak Muchhal', 'Arun Dev Yadav']",22 Days,https://www.youtube.com/watch?v=3lm_aoA7ZMk,['Parivesh Singh'],2017,22 Days,
Mehfooz,"['Ankit Tiwari', 'Amruta Talukder']",22 Days,https://www.youtube.com/watch?v=HI-xSqkIQOA,['Parivesh Singh'],2017,22 Days,
Khali Sa Hoon,['Shaan'],22 Days,https://www.youtube.com/watch?v=husQWElRNBE,['Parivesh Singh'],2017,22 Days,
Madhoshiyan,['Deepali Sathe'],22 Days,https://www.youtube.com/watch?v=3V_yBtwRyjo,['Parivesh Singh'],2017,22 Days,
2am,['Indeep Bakshi'],2am,https://www.youtube.com/watch?v=yrGiX2nLo4I,"['Sachh', 'Indeep Bakshi']",2017,,
Dil Disco Disco Bole Saari Raat Sajna,"['Benny Dayal', 'Shirley Setia']",A Gentleman,https://www.youtube.com/watch?v=I5SzASOuZVA,['Sachin - Jigar'],2017,A Gentleman,
Baat Ban Jaye,"['Siddharth Basrur', 'Priya Saraiya']",A Gentleman,https://www.youtube.com/watch?v=MNdSI78fdHg,['Sachin - Jigar'],2017,A Gentleman,
Chandralekha,"['Vishal Dadlani', 'Jonita Gandhi']",A Gentleman,https://www.youtube.com/watch?v=oZk1hztvYSQ,['Sachin - Jigar'],2017,A Gentleman,
Laagi Na Chhoote,"['Arijit Singh', 'Shreya Ghoshal']",A Gentleman,https://www.youtube.com/watch?v=6I1fIHwO9nQ,['Sachin - Jigar'],2017,A Gentleman,
Bandook Meri Laila,"['Ash King', 'Jigar Saraiya', 'Raftaar', 'Siddharth Malhotra']",A Gentleman,https://www.youtube.com/watch?v=HP0L_U8buwY,['Sachin - Jigar'],2017,A Gentleman,
Aa Gaya Hero,['Arghya Banerjee'],Aa Gaya Hero,https://www.youtube.com/watch?v=09bxIVj2g8c,['Arghya Banerjee'],2017,Aa Gaya Hero,
Police Wala Don,"['Ahan Shah', 'Poorvi Koutish']",Aa Gaya Hero,https://www.youtube.com/watch?v=la2VDwrRgtk,['Shamir Tandon'],2017,Aa Gaya Hero,
