title,singers,album,download_link,directors,year,film,cast
Dil Kahun Ya Aaina,['Udbhav Ojha'],2 Little Indians,http://www.youtube.com/watch?v=gDPNyanUJHA,['Ravi Bhatia'],2013,2 Little Indians,
We Are On The Way,['Pavni Pandey'],2 Little Indians,http://www.youtube.com/watch?v=amG_hWp2HIs,['Veivek Asthaana'],2013,2 Little Indians,
Tinka Tinka Si Doori,"['Pavni Pandey', 'Javed Ali']",2 Little Indians,http://www.youtube.com/watch?v=W8cmrgQwGgA,['Veivek Asthaana'],2013,2 Little Indians,
Bum Chick Bum Chick,['Ravi Jain'],2 Little Indians,http://www.youtube.com/watch?v=1ZJxy29QCc8,['Ravi Jain'],2013,2 Little Indians,
Kaise Bataaoon,"['KK', 'Sonal Chauhan']",3G - A Killer Connection,http://www.youtube.com/watch?v=5H3FhXFeEz4,['Mithoon'],2013,3G - A Killer Connection,
Khalbali,"['Shilpa Rao', 'Tochi Raina', 'Arijit Singh']",3G - A Killer Connection,https://www.youtube.com/watch?v=D6ENaRCTAHE,['Mithoon'],2013,3G - A Killer Connection,
Bulbulliya,['Adnan Sami'],3G - A Killer Connection,https://www.youtube.com/watch?v=XwXl4QsnR7k,['Mithoon'],2013,3G - A Killer Connection,
Kaise Bataaoon (Cantabile),['Abhishek Nailwal'],3G - A Killer Connection,https://www.youtube.com/watch?v=o9zMLcT4C94,['Mithoon'],2013,3G - A Killer Connection,
Khalbali (Punjabi),['Tochi Raina'],3G - A Killer Connection,https://www.youtube.com/watch?v=DqW2g-mVSfI,['Mithoon'],2013,3G - A Killer Connection,
Shambhu Sutaya,"['Shankar Mahadevan', 'Vishal Dadlani']",ABCD: Any Body Can Dance,http://www.youtube.com/watch?v=8RGAwsxn_Fw,['Sachin - Jigar'],2013,ABCD: Any Body Can Dance,
Bezubaan,"['Mohit Chauhan', 'Priya Panchal']",ABCD: Any Body Can Dance,http://www.youtube.com/watch?v=7HhG7YmOkMM,['Sachin - Jigar'],2013,ABCD: Any Body Can Dance,
Psycho Re,"['Mika Singh', 'Udit Narayan']",ABCD: Any Body Can Dance,http://www.youtube.com/watch?v=tV6MvhaZ0BU,['Sachin - Jigar'],2013,ABCD: Any Body Can Dance,
Sorry Sorry,['Jigar Saraiya'],ABCD: Any Body Can Dance,http://www.youtube.com/watch?v=4ttoq1nqxUE,['Sachin - Jigar'],2013,ABCD: Any Body Can Dance,
Sadda Dil Vi Tu (Ga Ga Ga Ganpati),['Hard Kaur'],ABCD: Any Body Can Dance,http://www.youtube.com/watch?v=yVHviEAZ1xg,['Sachin - Jigar'],2013,ABCD: Any Body Can Dance,
Tum Hi Ho,['Arijit Singh'],Aashiqui 2,http://www.youtube.com/watch?v=IJq0yyWug1k,['Mithoon'],2013,Aashiqui 2,
Sun Raha Hai (Male),['Ankit Tiwari'],Aashiqui 2,http://www.youtube.com/watch?v=eHRrZ5DQCV4,['Ankit Tiwari'],2013,Aashiqui 2,
Chahun Main Ya Naa,"['Palak Muchhal', 'Arijit Singh']",Aashiqui 2,http://www.youtube.com/watch?v=VdyBtGaspss,['Jeet Ganguly'],2013,Aashiqui 2,
