title,singers,album,download_link,directors,year,film,cast
Allah Teri Kya Shaan Hai,"['Jaan Nissar Lone', 'Kamal Khan']",18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=rF7JYlu2mhM,['Jaan Nissar Lone'],2014,18.11 (A Code Of Secrecy),
Yeh Zamin Yeh Aasman Roshni Se Nahaane Lage,"['Kunal Ganjawala', ""Suzanne D'Mello"", 'Nadeem Al Balushi']",18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=6av6kNVx-0I,['Jaan Nissar Lone'],2014,18.11 (A Code Of Secrecy),
Mera Yaar Thanedaar,"['Rani Hazarika', 'Jaan Nissar Lone']",18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=djznDrQ05wA,['Jaan Nissar Lone'],2014,18.11 (A Code Of Secrecy),
Eagle Sa Ego Hai,['Shaan'],18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=mI5qs83q6Z8,['Jaan Nissar Lone'],2014,18.11 (A Code Of Secrecy),
Aandhi Jaisi Raftar Chal Chala Chal (Chal Chal Saathi Re),['Shail Hada'],18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=8R1rs5dvqyM,['Jaan Nissar Lone'],2014,18.11 (A Code Of Secrecy),
Offo,"['Aditi Singh Sharma', 'Amitabh Bhattacharya']",2 States,https://www.youtube.com/watch?v=YPlIhgAX9AQ,['Shankar - Ehsaan - Loy'],2014,2 States,
Locha-E-Ulfat Ho Gaya (Ban Ke Museebat Peechhe Padi Hai),['Benny Dayal'],2 States,https://www.youtube.com/watch?v=G6RR2_NQ530,['Shankar - Ehsaan - Loy'],2014,2 States,
Mast Magan,"['Arijit Singh', 'Chinmayi Sripada']",2 States,https://www.youtube.com/watch?v=xitd9mEZIHk,['Shankar - Ehsaan - Loy'],2014,2 States,
Iski Uski,"['Akriti Kakar', 'Shahid Mallya']",2 States,https://www.youtube.com/watch?v=xQMMBANbcdQ,['Shankar - Ehsaan - Loy'],2014,2 States,
Chaandaniya,"['K. Mohan', 'Yashita Sharma']",2 States,https://www.youtube.com/watch?v=P0KasU0HXD0,['Shankar - Ehsaan - Loy'],2014,2 States,
Hulla Re,"['Shankar Mahadevan', 'Rasika Shekar', 'Siddharth Mahadevan']",2 States,https://www.youtube.com/watch?v=xNzHio8_V-Q,['Shankar - Ehsaan - Loy'],2014,2 States,
Raeth Ki Tarah,['Rajat'],3 A.M.,https://www.youtube.com/watch?v=gihXd-Say7s,['Manan'],2014,3 A.M.,
Teri Adaaon Mein,['Mustafa Zahid'],3 A.M.,https://www.youtube.com/watch?v=8ySfyk3cEHk,['Pranay Rijia'],2014,3 A.M.,
Meherbaan,['Rajat'],3 A.M.,https://www.youtube.com/watch?v=irodH4pj4Ds,['Manan'],2014,3 A.M.,
Sab Bhulake,['Wajhi Farooki'],3 A.M.,https://www.youtube.com/watch?v=pXWhBSuiymY,['Pranay Rijia'],2014,3 A.M.,
Pankhuri Ki Palki,['Abhijeet Bhattacharya'],A B,https://www.youtube.com/watch?v=ZLZxLP7bQUg,['Abhijeet Bhattacharya'],2014,,
Zindagi Sataaegi,['Shreya Ghoshal'],A Gran Plan,https://www.youtube.com/watch?v=ifJH8KE0Q4c,"['Kabir Singh', 'Kaizad Gherda']",2014,A Gran Plan,
