title,singers,album,download_link,directors,year,film,cast
Pigeon Kabootar (Teen Thay Bhai),['Daler Mehndi'],3 Thay Bhai,https://www.youtube.com/watch?v=dPSnW8UbzyQ,"['Rajat Dholakia', 'Daler Mehndi']",2011,3 Thay Bhai,
Kya Dekh Raha Hai (Female),['Suman Sridhar'],404 Error Not Found,http://www.youtube.com/watch?v=K-YoAoIyf9A,['Imaad Shah'],2011,404 Error Not Found,
Psycho Baba,['Imaad Shah'],404 Error Not Found,http://www.youtube.com/watch?v=uqn4itCRZtM,['Imaad Shah'],2011,404 Error Not Found,
Chal Soch Le,['Imaad Shah'],404 Error Not Found,http://www.youtube.com/watch?v=ph4y7Grh6RU,['Imaad Shah'],2011,404 Error Not Found,
Kya Wajah Thi Tere Jaane Ki,"['Bandana Sharma', 'Javed Ali']",5 Ghantey Mein 5 Crore,https://www.youtube.com/watch?v=Z2AknxTw01w,['Tony Kakkar'],2011,5 Ghantey Mein 5 Crore,
O Sone Ke Kangna (Female),['Shibani Kashyap'],5 Ghantey Mein 5 Crore,http://www.youtube.com/watch?v=h3i7itc_yeA,['Leonard Victor'],2011,5 Ghantey Mein 5 Crore,
Kamsin,"['Manjeera Ganguly', 'Swati Shree Sharma']",5 Ghantey Mein 5 Crore,http://www.youtube.com/watch?v=iSXl49y4UfI,['Leonard Victor'],2011,5 Ghantey Mein 5 Crore,
Kya Jadu Hai Yeh,"['Leonard Victor', ""Suzanne D'Mello""]",5 Ghantey Mein 5 Crore,https://www.youtube.com/watch?v=J50Qz1UzAQQ,['Leonard Victor'],2011,5 Ghantey Mein 5 Crore,
Zindagi Kahun,['Hasan Amin'],5 Ghantey Mein 5 Crore,https://www.youtube.com/watch?v=fAl_9sKG_KQ,['Ali Mustafa'],2011,5 Ghantey Mein 5 Crore,
Darling,"['Usha Uthup', 'Rekha Bhardwaj']",7 Khoon Maaf,https://www.youtube.com/watch?v=viBaS0fKPGc,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
Bekaraan,['Vishal Bhardwaj'],7 Khoon Maaf,https://www.youtube.com/watch?v=UBIXCrDO10w,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
O'Mama,['KK'],7 Khoon Maaf,https://www.youtube.com/watch?v=KKeJh0aD7Hk,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
Awaara,['Master Saleem'],7 Khoon Maaf,https://www.youtube.com/watch?v=MMILKVYhxVw,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
Tere Liye,['Suresh Wadkar'],7 Khoon Maaf,https://www.youtube.com/watch?v=cJQKvMUhR9Q,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
Dil Dil Hai,['Suraj Jagan'],7 Khoon Maaf,https://www.youtube.com/watch?v=-BkPIFNtwOc,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
Yeshu,['Rekha Bhardwaj'],7 Khoon Maaf,https://www.youtube.com/watch?v=4ERsA1_j9yY,['Vishal Bhardwaj'],2011,7 Khoon Maaf,
