title,singers,album,download_link,directors,year,film,cast
Aap Ki Khatir - Unplugged,"['Himesh Reshammiya', 'Akshaye Khanna']",Aap Ki Khatir,http://www.youtube.com/watch?v=pDXMRBb92pU,['Himesh Reshammiya'],2006,Aap Ki Khatir,
Tere Chehre Se Nazar Nahi Hatati,"['Sonu Nigam', 'Sunidhi Chauhan']",Aatma,http://www.youtube.com/watch?v=cPsOoew93wk,['Anu Malik'],2006,Aatma,
Baahon Mein Chhupa Lo Mujhe Is Kadar,['Sunidhi Chauhan'],Aatma,http://www.youtube.com/watch?v=bRhmgVglUgA&feature=plcp,['J. Gopal Prasad'],2006,Aatma,
Sehma Sehma Hai Samaa,['Khushboo Jain'],Aatma,https://www.youtube.com/watch?v=YNS_nwnuaPA,['Anchal Talesara'],2006,Aatma,
Ishq Hua Mujhe Ishq Hua,['Asha Bhosle'],Aatma,https://www.youtube.com/watch?v=-V9d3z-nCyM,['Ibrahim Ashq'],2006,Aatma,
Chori Chori Dil Chura Liya,['Sadhna Sargam'],Aatma,http://www.youtube.com/watch?v=_WiK-9pXjmI,['J. Gopal Prasad'],2006,Aatma,
Ahista Ahista,['Himesh Reshammiya'],Ahista Ahista,http://www.youtube.com/watch?v=pVF8qNTzems,['Himesh Reshammiya'],2006,Ahista Ahista,
Allah Kare,['Himesh Reshammiya'],Ahista Ahista,http://www.youtube.com/watch?v=d7frhH987XY,['Himesh Reshammiya'],2006,Ahista Ahista,
Love You Unconditionally,['Himesh Reshammiya'],Ahista Ahista,http://www.youtube.com/watch?v=ur3Y4uZ3C3g,['Himesh Reshammiya'],2006,Ahista Ahista,
Ishq Ne Tere,"['KK', 'Jayesh Gandhi']",Ahista Ahista,http://www.youtube.com/watch?v=0MxKHbPHRcE,['Himesh Reshammiya'],2006,Ahista Ahista,
Tanha Tere Bagair,"['Sunidhi Chauhan', 'KK']",Ahista Ahista,https://www.youtube.com/watch?v=zfmqUfaW-nE,['Himesh Reshammiya'],2006,Ahista Ahista,
Aawaan Akhiyaan Jaawaan Akhiyaan,"['Aftab Sabri', 'Hashim Sabri', 'Jayesh Gandhi', 'Himesh Reshammiya']",Ahista Ahista,https://www.youtube.com/watch?v=cDSqAZhfLmI,['Himesh Reshammiya'],2006,Ahista Ahista,
Tum Jo Mile,['Kunal Ganjawala'],Ahista Ahista,https://www.youtube.com/watch?v=wEz1YO2jUmY,['Himesh Reshammiya'],2006,Ahista Ahista,
Dil Naiyo Maane Re,"['Himesh Reshammiya', 'Tulsi Kumar']",Ahista Ahista,https://www.youtube.com/watch?v=w4m3g4YoOxQ,['Himesh Reshammiya'],2006,Ahista Ahista,
Ahista Ahista (Remix),['Himesh Reshammiya'],Ahista Ahista,https://www.youtube.com/watch?v=Wr5xuXEXB9Y,['Himesh Reshammiya'],2006,Ahista Ahista,
Allah Kare (Remix),['Himesh Reshammiya'],Ahista Ahista,https://www.youtube.com/watch?v=g3ZM6KyqTSA,['Himesh Reshammiya'],2006,Ahista Ahista,
Love You Unconditionally (Remix),['Himesh Reshammiya'],Ahista Ahista,https://www.youtube.com/watch?v=AeyS1gWBdm4,['Himesh Reshammiya'],2006,Ahista Ahista,
Ishq Ne Tere (Remix),"['KK', 'Jayesh Gandhi']",Ahista Ahista,https://www.youtube.com/watch?v=nQ6wLXu5wig,['Himesh Reshammiya'],2006,Ahista Ahista,
Tanha Tere Bagair (Remix),"['Sunidhi Chauhan', 'KK']",Ahista Ahista,https://www.youtube.com/watch?v=BD0_GKqKqro,['Himesh Reshammiya'],2006,Ahista Ahista,
Dil Naiyo Maane Re (Remix),"['Himesh Reshammiya', 'Tulsi Kumar']",Ahista Ahista,https://www.youtube.com/watch?v=ZHcerDZ13uo,['Himesh Reshammiya'],2006,Ahista Ahista,
Allah Kare (Unplugged),['Himesh Reshammiya'],Ahista Ahista,https://www.youtube.com/watch?v=JdltDpT8Of4,['Himesh Reshammiya'],2006,Ahista Ahista,
Ahista Ahista (Unplugged),['Himesh Reshammiya'],Ahista Ahista,https://www.youtube.com/watch?v=clSq0rbDjdw,['Himesh Reshammiya'],2006,Ahista Ahista,
Jhalak Dikhla Ja,['Himesh Reshammiya'],Aksar,http://www.youtube.com/watch?v=vnlk8V-q0oU,['Himesh Reshammiya'],2006,Aksar,
Laagi Laagi,"['Himesh Reshammiya', 'Sunidhi Chauhan']",Aksar,http://www.youtube.com/watch?v=gu2_z0AK0qc&feature=plcp,['Himesh Reshammiya'],2006,Aksar,
Soniye,"['KK', 'Sunidhi Chauhan']",Aksar,http://www.youtube.com/watch?v=mK-XfCnttkE,['Himesh Reshammiya'],2006,Aksar,
Jhalak Dikhla Ja (Remix),['Himesh Reshammiya'],Aksar,http://www.youtube.com/watch?v=ClCDXnldOAk&feature=plcp,['Himesh Reshammiya'],2006,Aksar,
Mohabbat Ke,"['Himesh Reshammiya', 'Tulsi Kumar']",Aksar,https://www.youtube.com/watch?v=YL-DrHMDSvQ,['Himesh Reshammiya'],2006,Aksar,
Lut Jayenge,"['Kunal Ganjawala', 'Jayesh Gandhi']",Aksar,https://www.youtube.com/watch?v=3kVuSoZZPw0,['Himesh Reshammiya'],2006,Aksar,
Lut Jayenge (Remix),"['Kunal Ganjawala', 'Jayesh Gandhi']",Aksar,http://www.youtube.com/watch?v=OzTWZC60FUk&feature=plcp,['Himesh Reshammiya'],2006,Aksar,
Soniye (Remix),"['KK', 'Sunidhi Chauhan']",Aksar,http://www.youtube.com/watch?v=3UCzlbUOIn0&feature=plcp,['Himesh Reshammiya'],2006,Aksar,
Mohabbat Ke (Remix),"['Himesh Reshammiya', 'Tulsi Kumar']",Aksar,http://www.youtube.com/watch?v=3oL8cDfvYTM&feature=plcp,['Himesh Reshammiya'],2006,Aksar,
Laagi Laagi (Remix),"['Himesh Reshammiya', 'Sunidhi Chauhan']",Aksar,http://www.youtube.com/watch?v=191xj821Y-E,['Himesh Reshammiya'],2006,Aksar,
Jhalak Dikhla Ja (Unplugged),['Himesh Reshammiya'],Aksar,https://www.youtube.com/watch?v=o6M0c14Q230,['Himesh Reshammiya'],2006,Aksar,
