title,singers,album,download_link,directors,year,film,cast
16 Saal,"['Anshh', 'Speedy Anuj']",16 Saal,https://www.youtube.com/watch?v=TB5BBtrQaqA,['Speedy Anuj'],2019,,
Aa Dekhen Zara Hum,['Rishabh Raj'],1978: A Teen Nightout,https://www.youtube.com/watch?v=zfyzjYQtDTg,['Santosh Nair'],2019,1978: A Teen Nightout,
Adhoori Daastan,['Abuzar Akhtar'],1978: A Teen Nightout,https://www.youtube.com/watch?v=gyW1PdI32Wg,['Abuzar Akhtar'],2019,1978: A Teen Nightout,
Jhoomona Jhoomona,['Muskaan Tomar'],1978: A Teen Nightout,https://www.youtube.com/watch?v=W_0rOvJmARQ,['Santosh Nair'],2019,1978: A Teen Nightout,
Khuli Aankhon Pe,['Apurva Godbole'],1978: A Teen Nightout,https://www.youtube.com/watch?v=UFuKEjHUUpU,['Santosh Nair'],2019,1978: A Teen Nightout,
Ye Kaisi Raat Hai,['Maliha Malla'],1978: A Teen Nightout,https://www.youtube.com/watch?v=KoQy0G2_D1E,['Kunal Shamshere Malla'],2019,1978: A Teen Nightout,
2 Much Fun,['Kaydee'],2 Much Fun,https://www.youtube.com/watch?v=CALqhZGdggM,['Kaydee'],2019,,
Bande Daud,['Siddharth Mahadevan'],22 Yards,https://www.youtube.com/watch?v=AlIAJsolW9Q,['Amartya Ray'],2019,22 Yards,
Ruk Ja Nadeem,['Amit Mishra'],22 Yards,https://www.youtube.com/watch?v=2Sy3w8LLxyc,['Amartya Ray'],2019,22 Yards,
Saanjheya,"['Pardeep Sran', 'Nikita Gandhi']",22 Yards,https://www.youtube.com/watch?v=04FP--X0JIQ,['Bobo Rahut'],2019,22 Yards,
Thodi Si Chadh Gayi Hai,"['Avijit Das', 'Shagun Sodhi']",3rd Eye,https://www.youtube.com/watch?v=EtFPsWBHtSU,['Avijit Das'],2019,3rd Eye,
Dil Ke Kareeb Aa Kar,"['Shagun Sodhi', 'Avijit Das']",3rd Eye,https://www.youtube.com/watch?v=Gjr5XVo1TeE,['Surinder Sodhi'],2019,3rd Eye,
Koi Saath Ho Koi Baat Ho,"['Shagun Sodhi', 'Avijit Das']",3rd Eye,https://www.youtube.com/watch?v=1ZaqSz6mN98,['Surinder Sodhi'],2019,3rd Eye,
Morni Sa Ang Mera,['Swati Prasad'],3rd Eye,https://www.youtube.com/watch?v=rM1VktnJNOg,['Avijit Das'],2019,3rd Eye,
O Baby Laga De Thumka,"['Avijit Das', 'Shagun Sodhi']",3rd Eye,https://www.youtube.com/watch?v=030mG190ylQ,['Avijit Das'],2019,3rd Eye,
4 Peg,['Gautam Bajrangi'],4 Peg,https://www.youtube.com/watch?v=tzGurG0z964,['J-Jatin'],2019,,
Sau Jahan,['Shaan'],72 Hours,https://www.youtube.com/watch?v=zbmPCLEmrw8,['Sunjoy Bose'],2019,72 Hours,
Vande Mataram,"['Sukhwinder Singh', 'Anupriya Chatterjee']",72 Hours,https://www.youtube.com/watch?v=qJW8wStUjvs,['Sunjoy Bose'],2019,72 Hours,
Tum Bepanah Barsi Ho Boond Ban Ke,"['Mohit Chauhan', 'Priyanka Negi']",72 Hours,https://www.youtube.com/watch?v=iw0ZirAnDH8,['Sunjoy Bose'],2019,72 Hours,
Door Main Khud Se Hua Door,['Shaan'],72 Hours,https://www.youtube.com/watch?v=bSW5p99wu9I,['Sunjoy Bose'],2019,72 Hours,
Ab Toh Chal Pade,"['Shaan', 'Sunjoy Bose']",72 Hours,https://www.youtube.com/watch?v=fqGoRce616w,['Sunjoy Bose'],2019,72 Hours,
O Re Chanda,"['Shreya Ghoshal', 'Sunjoy Bose']",72 Hours,https://www.youtube.com/watch?v=rPtmGC9nfYk,['Sunjoy Bose'],2019,72 Hours,
Sau Jahan (Reprise),['Mohit Mishra'],72 Hours,https://www.youtube.com/watch?v=0gvUlD1Nip0,['Sunjoy Bose'],2019,72 Hours,
A Tribute To Mohammed Aziz - Ai Mere Dost,['Vijoy Kashyap'],A Tribute To Mohammed Aziz - Ai Mere Dost,https://www.youtube.com/watch?v=URDj9LNGni8,['Vijoy Kashyap'],2019,,
Aa Bhi Ja,['Jass Gujral'],Aa Bhi Ja,https://www.youtube.com/watch?v=hw9G3Zoct48,['Rangroop Sandhu'],2019,,
Aa Bhi Jaa,['Araaj Keshav'],Aa Bhi Jaa,https://www.youtube.com/watch?v=9kdi0Zs5-o0,['Araaj Keshav'],2019,,
Aafat Waapas,['Naezy'],Aafat Waapas,https://www.youtube.com/watch?v=AahfNl8LhNw,['Phenom'],2019,,
Aafreen,['Ash King'],Aafreen,https://www.youtube.com/watch?v=WeeqzXFV55o,['Agnel Roman'],2019,,
Aaja Re,['Raenit Singh'],Aaja Re,https://www.youtube.com/watch?v=8GJmk0_tKs0,"['Raenit Singh', 'Nupur Mehta - I']",2019,,
Aaja Re Maahi,['Faraz Ali - I'],Aaja Re Maahi,https://www.youtube.com/watch?v=8nhkfl8Z4c8,['Raj Mahajan'],2019,,
Aaja Tu,"['Harmaan Nazim K. Ali', 'Sarodee Borah']",Aaja Tu,https://www.youtube.com/watch?v=fSvVGMIQIh8,['Verdadera Stern'],2019,,
