title,singers,album,download_link,directors,year,film,cast
Seh Lenge Hum,['Shibani Kashyap'],1971,http://www.youtube.com/watch?v=sS6jlkV_cxY,['Akash Sagar'],2007,1971,
Chal Mere Sang,"['Narayani Shastri', 'A Band Of Boys']",68 Pages,https://www.youtube.com/watch?v=wgPAG7y4RIQ,['Xen@Bob'],2007,68 Pages,
Aaja Nachle,['Sunidhi Chauhan'],Aaja Nachle,http://www.youtube.com/watch?v=q42IpVY_kNY&feature=plcp,['Salim - Sulaiman'],2007,Aaja Nachle,
Ishq Hua,"['Sonu Nigam', 'Shreya Ghoshal']",Aaja Nachle,http://www.youtube.com/watch?v=Vl8zpQZ5Jc8&feature=plcp,['Salim - Sulaiman'],2007,Aaja Nachle,
Show Me Your Jalwa,"['Richa Sharma', 'Kailash Kher', 'Salim Merchant']",Aaja Nachle,http://www.youtube.com/watch?v=JLJqwZeMlLY&feature=plcp,['Salim - Sulaiman'],2007,Aaja Nachle,
O Re Piya,['Rahat Fateh Ali Khan'],Aaja Nachle,https://www.youtube.com/watch?v=WgKox1wWiiw,['Salim - Sulaiman'],2007,Aaja Nachle,
Soniye Mil Ja,"['Sukhwinder Singh', 'Sunidhi Chauhan', 'Madhuri Dixit']",Aaja Nachle,http://www.youtube.com/watch?v=UhS0EFWn1Bs,['Salim - Sulaiman'],2007,Aaja Nachle,
Is Pal,"['Sonu Nigam', 'Shreya Ghoshal']",Aaja Nachle,http://www.youtube.com/watch?v=d9p32sk1L-g,['Salim - Sulaiman'],2007,Aaja Nachle,
Koi Patthar Se Naa Maare,"['Sunidhi Chauhan', 'Shreya Ghoshal', 'Sonu Nigam']",Aaja Nachle,http://www.youtube.com/watch?v=RhWefHi4YMk,['Salim - Sulaiman'],2007,Aaja Nachle,
Dance With Me,['Sonia Saigal'],Aaja Nachle,http://www.youtube.com/watch?v=2GU9YEQBlcs&feature=plcp,['Salim - Sulaiman'],2007,Aaja Nachle,
Nachle (Reprise),['Sunidhi Chauhan'],Aaja Nachle,http://www.youtube.com/watch?v=CQpYhYKGZSE&feature=plcp,['Salim - Sulaiman'],2007,Aaja Nachle,
Aaliya,['Manu Rajeev'],Aaliya,http://www.youtube.com/watch?v=2XXCje3TO6A,['Manu Rajeev'],2007,,
Achchha Hai,"['Manu Rajeev', 'Parul Bhatnagar']",Aaliya,https://www.youtube.com/watch?v=EPDaCYUGayU,['Manu Rajeev'],2007,,
Kill Him,['Manu Rajeev'],Aaliya,https://www.youtube.com/watch?v=b1ZV_I9GhIw,['Manu Rajeev'],2007,,
Aaliya (Club Mix),['Manu Rajeev'],Aaliya,https://www.youtube.com/watch?v=jZPG0rkS3dI,['Manu Rajeev'],2007,,
Deewarein Kyon,['Manu Rajeev'],Aaliya,https://www.youtube.com/watch?v=7YBNtgnlCBA,['Manu Rajeev'],2007,,
Akhan De,['Manu Rajeev'],Aaliya,https://www.youtube.com/watch?v=S29gA62GsUY,['Manu Rajeev'],2007,,
Kabhi Na Kabhi,['Manu Rajeev'],Aaliya,https://www.youtube.com/watch?v=PcIkdrVCypE,['Manu Rajeev'],2007,,
