title,singers,album,download_link,directors,year,film,cast
Vaada Tumse Hai Vaada (Male),['Pandit Jasraj'],1920,http://www.youtube.com/watch?v=85O5SRIHjzA&feature=plcp,['Adnan Sami'],2008,1920,
Bichhua,['Shubha Mudgal'],1920,http://www.youtube.com/watch?v=J65UhIMtOZU&feature=plcp,['Adnan Sami'],2008,1920,
Aise Jalta Hai Jiya,['Asha Bhosle'],1920,http://www.youtube.com/watch?v=rAdBX5Je9F8&feature=plcp,['Adnan Sami'],2008,1920,
Tujhe Main Pyar Karoon,['Kailash Kher'],1920,http://www.youtube.com/watch?v=_MH-arg5FUo,['Adnan Sami'],2008,1920,
Vaada Tumse Hai Vaada (Female),['Parveen Sultana'],1920,http://www.youtube.com/watch?v=AqdzjfmxFzQ,['Adnan Sami'],2008,1920,
Bichhua (Remix),['Shubha Mudgal'],1920,https://www.youtube.com/watch?v=Kw2Yw-68ZS8,['Adnan Sami'],2008,1920,
Bulle Shah,['Tochi Raina'],A Wednesday,http://www.youtube.com/watch?v=a4BuOutBkA4&feature=plcp,['Sanjoy Chowdhury'],2008,A Wednesday,
Jalwa,['Shaan'],A Wednesday,https://www.youtube.com/watch?v=9W_KPuDfAFY,['Sanjoy Chowdhury'],2008,A Wednesday,
Nazar Lage Na,"['Shaan', 'Mahalakshmi Iyer']",A Wednesday,https://www.youtube.com/watch?v=dQb7_2H0_gw,['Sanjoy Chowdhury'],2008,A Wednesday,
Parwazen,['Shaan'],A Wednesday,https://www.youtube.com/watch?v=WJlwYXBu8ZY,['Sanjoy Chowdhury'],2008,A Wednesday,
Bekali,['Javed Ali'],A Wednesday,https://www.youtube.com/watch?v=PKn_EX61bkA,['Sanjoy Chowdhury'],2008,A Wednesday,
Bulle Shah (Remix),['Tochi Raina'],A Wednesday,https://www.youtube.com/watch?v=nFuZWAiefH4,['Sanjoy Chowdhury'],2008,A Wednesday,
Sun Sun O Yara,['Arvinder Singh'],Aaj Ka Boss,https://www.youtube.com/watch?v=yRyFQRwq2UI,['Ghulam Ali - I'],2008,Aaj Ka Boss,
Dil Naa Lagana Dildaar Saare Jhoothe Hain,['Attaullah Khan'],Aaj Ka Boss,https://www.youtube.com/watch?v=PJSGM2C2rpg,['Ghulam Ali - I'],2008,Aaj Ka Boss,
Tere Bina Naiyo Jeena,"['Alka Yagnik', 'Udit Narayan']",Aaj Ka Boss,https://www.youtube.com/watch?v=dauuYNY3tyA,['Ghulam Ali - I'],2008,Aaj Ka Boss,
Dakiya Roj Gali Mein Aave,"['Kavita Krishnamurthy', 'Prabha Bharti']",Aaj Ka Boss,https://www.youtube.com/watch?v=AqsmoSSa6lk,['Ghulam Ali - I'],2008,Aaj Ka Boss,
Ha Raham Mehfuz,"['Murtaza', 'Amit Trivedi', 'Amitabh Bhattacharya']",Aamir,http://www.youtube.com/watch?v=eY6uRDNnvKQ,['Amit Trivedi'],2008,Aamir,
Chakkar Ghumyo,['Amit Trivedi'],Aamir,https://www.youtube.com/watch?v=3xbOxCKsjPA,['Amit Trivedi'],2008,Aamir,
Phas Gaya (Never Mind),['Neuman Pinto'],Aamir,http://www.youtube.com/watch?v=sqCkaCYVCc0,['Amit Trivedi'],2008,Aamir,
Ek Lau,"['Shilpa Rao', 'Amitabh Bhattacharya']",Aamir,http://www.youtube.com/watch?v=LTlsOrl8ENo,['Amit Trivedi'],2008,Aamir,
Aawargee,['Ghulam Ali'],Aawargee,https://www.youtube.com/watch?v=BitMSJTZ464,['Ghulam Ali'],2008,,
Ishq Ada Hai (Male Version),['Rashid Ali'],Ada A Way Of Life,https://www.youtube.com/watch?v=Xj6cLirHawU,['A.R. Rahman'],2008,Ada A Way Of Life,
