title,singers,album,download_link,directors,year,film,cast
Soya Hai Tu,['Alka Yagnik'],Aakheer,https://www.youtube.com/watch?v=uH588p3lrjQ,['Aabir Mukherjee'],2001,Aakheer,
Hum Aur Tum - Male,['Kumar Sanu'],Aakheer,https://www.youtube.com/watch?v=RxfEK5l_DXQ,['Aabir Mukherjee'],2001,Aakheer,
Tu Mile Na Mile,['Poornima'],Aakheer,https://www.youtube.com/watch?v=jbAgUDF44GU,['Aabir Mukherjee'],2001,Aakheer,
Insaan Bananewale - Female,['Shobha Mukherjee'],Aakheer,https://www.youtube.com/watch?v=fz_CXdKXlak,['Aabir Mukherjee'],2001,Aakheer,
Tere Bina Kya Hain Hum,['Kumar Sanu'],Aakheer,https://www.youtube.com/watch?v=iBfxryqlldA,['Aabir Mukherjee'],2001,Aakheer,
Hum Aur Tum - Female,['Alka Yagnik'],Aakheer,https://www.youtube.com/watch?v=OPtaBmmfjHU,['Aabir Mukherjee'],2001,Aakheer,
Insaan Bananewale - Male,['Mohammed Aziz'],Aakheer,https://www.youtube.com/watch?v=lYMAKsHMUOs,['Aabir Mukherjee'],2001,Aakheer,
Mohabbat Ka Chhota Sa Afsana Hai,['Kumar Sanu'],Aakheer,https://www.youtube.com/watch?v=yk1snI2pWUU,['Aabir Mukherjee'],2001,Aakheer,
Aashiq Mujhe Aashiq Tune Banaya,"['Roop Kumar Rathod', 'Alka Yagnik']",Aashiq,http://www.youtube.com/watch?v=F2lbKZQaMKg,['Sanjeev - Darshan'],2001,Aashiq,
O Mere Dholna,"['Udit Narayan', 'Anuradha Paudwal']",Aashiq,http://www.youtube.com/watch?v=IpxG5TIMpfM,['Sanjeev - Darshan'],2001,Aashiq,
Teri Aankhon Mein Mujhe Pyar Nazar Aata Hai,"['Udit Narayan', 'Alka Yagnik']",Aashiq,http://www.youtube.com/watch?v=evxmc8_l1Lw,['Sanjeev - Darshan'],2001,Aashiq,
Gori Tera Nakhra,"['Udit Narayan', 'Alka Yagnik']",Aashiq,http://www.youtube.com/watch?v=k9i2PKp39v8,['Sanjeev - Darshan'],2001,Aashiq,
Gore Gore Gaal Mere,['Alka Yagnik'],Aashiq,http://www.youtube.com/watch?v=pHY1tRWy42M,['Sanjeev - Darshan'],2001,Aashiq,
Charche Hain Hamare,['Udit Narayan'],Aashiq,http://www.youtube.com/watch?v=NavAwo73sUE,['Sanjeev - Darshan'],2001,Aashiq,
Tum Kya Jaano Dil Karta Tumse Kitna Pyar,"['Udit Narayan', 'Alka Yagnik']",Aashiq,http://www.youtube.com/watch?v=flTRd4yzJTk,['Sanjeev - Darshan'],2001,Aashiq,
Guiding Star,"['Hariharan', 'Leslie Lewis']",Aatma,https://www.youtube.com/watch?v=p71gjX7y3Uc,"['Leslie Lewis', 'Jaidev']",2001,,
Mata Pita,"['Hariharan', 'Leslie Lewis']",Aatma,http://www.youtube.com/watch?v=9BFsZJ4Zkq4,['Leslie Lewis'],2001,,
Kaai Zhala,"['Hariharan', 'Leslie Lewis']",Aatma,https://www.youtube.com/watch?v=k_YzLo2k0Gw,"['Hariharan', 'Leslie Lewis']",2001,,
Nazar Khamosh Chup Chup Hai,['Manhar Udhas'],Afsana Dilwalon Ka,https://www.youtube.com/watch?v=AAVe7ngYha0,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Ae Ishq Marhaba,"['Kavita Krishnamurthy', 'Udit Narayan']",Afsana Dilwalon Ka,https://www.youtube.com/watch?v=rTmsUrU1MgI,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Yeh Aashiq Husnwalon Se,"['Kavita Krishnamurthy', 'Udit Narayan']",Afsana Dilwalon Ka,https://www.youtube.com/watch?v=Hc9lW0jaYFA,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Afsana Suno Afsana Dilwalon Ka,['Udit Narayan'],Afsana Dilwalon Ka,https://www.youtube.com/watch?v=MqnhzVjLWtc,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Agar Qubool Hamara Salaam Ho Jaye,"['Alka Yagnik', 'Udit Narayan']",Afsana Dilwalon Ka,https://www.youtube.com/watch?v=9-KRa2HkN_c,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Aaj Vida Karte Hain Tumko,['Manhar Udhas'],Afsana Dilwalon Ka,https://www.youtube.com/watch?v=fN_s_v39zvo,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Salamat Rahe Aapka Aastana,['Manhar Udhas'],Afsana Dilwalon Ka,https://www.youtube.com/watch?v=6uXiAsiXW1U,['Shyam - Surender'],2001,Afsana Dilwalon Ka,
Mohabbat Naam Hai Kiska,"['Udit Narayan', 'Alka Yagnik']",Ajnabee,http://www.youtube.com/watch?v=hdHf9eKJPQ0&feature=plcp,['Anu Malik'],2001,Ajnabee,
Mehbooba Mehbooba,"['Adnan Sami', 'Sunidhi Chauhan']",Ajnabee,http://www.youtube.com/watch?v=rq8ikMZSPDU&feature=plcp,['Anu Malik'],2001,Ajnabee,
Meri Zindagi Mein Ajnabee,"['Kumar Sanu', 'Sunidhi Chauhan']",Ajnabee,http://www.youtube.com/watch?v=yr4tT3OqOuo&feature=plcp,['Anu Malik'],2001,Ajnabee,
Kasam Se Teri Aankhen,"['Udit Narayan', 'Sonu Nigam', 'Alka Yagnik', 'Sunidhi Chauhan']",Ajnabee,http://www.youtube.com/watch?v=nGQEk4zcmdc,['Anu Malik'],2001,Ajnabee,
Mujhko Neend Aa Rahi Hai,"['Sonu Nigam', 'Sunidhi Chauhan']",Ajnabee,http://www.youtube.com/watch?v=NYdTuEE_Jz4&feature=plcp,['Anu Malik'],2001,Ajnabee,
Jab Tumhe Aashiqui Maloom,['Kumar Sanu'],Ajnabee,http://www.youtube.com/watch?v=1rSnQs4wwkg&feature=plcp,['Anu Malik'],2001,Ajnabee,
Kaun Main Haan Tum,"['Udit Narayan', 'Alka Yagnik']",Ajnabee,http://www.youtube.com/watch?v=FfKgX7Sf2qo&feature=plcp,['Anu Malik'],2001,Ajnabee,
Yeh Raat,['Anupama - I'],Aks,http://www.youtube.com/watch?v=bV6eClc4ITc,['Anu Malik'],2001,Aks,
Raat Aati Hai,['Shubha Mudgal'],Aks,http://www.youtube.com/watch?v=eEuMXHgVrDc,['Anu Malik'],2001,Aks,
Aaja Gufaon Mein Aa,"['KK', 'Vasundhara Das']",Aks,https://www.youtube.com/watch?v=bdJtKDhyPV8,['Anu Malik'],2001,Aks,
Hum Bhool Gaye (Male),['Hariharan'],Aks,https://www.youtube.com/watch?v=wW2hpFRX1Ko,['Anu Malik'],2001,Aks,
Banda Bindaas,['KK'],Aks,http://www.youtube.com/watch?v=iA50xHmmD0A,['Anu Malik'],2001,Aks,
Bhala Bura,['Amitabh Bachchan'],Aks,https://www.youtube.com/watch?v=pSaOJCFgrLg,['Anu Malik'],2001,Aks,
Hum Bhool Gaye (Female),['K.S. Chitra'],Aks,https://www.youtube.com/watch?v=YAXqJC3asvY,['Anu Malik'],2001,Aks,
Ramleela,"['Amitabh Bachchan', 'Nandita Das', 'Kavita Mundra']",Aks,https://www.youtube.com/watch?v=atgZUuFWi_M,['Anu Malik'],2001,Aks,
Rabba Rabba,"['Sukhwinder Singh', 'Vasundhara Das']",Aks,https://www.youtube.com/watch?v=wuQiF1gy1Zk,['Anu Malik'],2001,Aks,
Kaho To Zara,"['Alka Yagnik', 'Kumar Sanu']",Albela,https://www.youtube.com/watch?v=Xxa9EaLwYEU,['Jatin - Lalit'],2001,Albela,
Haay Mera Dil Tu Leja Leja,"['Alka Yagnik', 'Babul Supriyo']",Albela,https://www.youtube.com/watch?v=S3HFWs_GU_k,['Jatin - Lalit'],2001,Albela,
Sar Se Sarak Gayee Teri Chunri,"['Alka Yagnik', 'Babul Supriyo']",Albela,https://www.youtube.com/watch?v=WEeHkNNIrA0,['Jatin - Lalit'],2001,Albela,
Dil Hamara Hua Hai,"['Alka Yagnik', 'Hariharan']",Albela,http://www.youtube.com/watch?v=5D7UcjI4QqE,['Jatin - Lalit'],2001,Albela,
Pyaar Ke Jadoo,"['Alka Yagnik', 'Udit Narayan']",Albela,https://www.youtube.com/watch?v=fd6hOmfy5r0,['Jatin - Lalit'],2001,Albela,
