title,singers,album,download_link,directors,year,film,cast
If I Rise,"['Dido', 'A.R. Rahman']",127 Hours,http://www.youtube.com/watch?v=l4cvhOWUJsA,['A.R. Rahman'],2010,,
Aise Nahi Jiya Laage,"['Shreya Ghoshal', 'Javed Ali']",13 Mai Gulabi Nagar,https://www.youtube.com/watch?v=727bO2SvXDU,['Laxmi - Vasant'],2010,13 Mai Gulabi Nagar,
Gori Sun Le,"['Sunidhi Chauhan', 'Javed Ali']",13 Mai Gulabi Nagar,https://www.youtube.com/watch?v=tMGkQFJiekk,['Laxmi - Vasant'],2010,13 Mai Gulabi Nagar,
Ek Pardesi,['Sonu Kakkar'],13 Mai Gulabi Nagar,https://www.youtube.com/watch?v=hHKyyzFxbps,['Laxmi - Vasant'],2010,13 Mai Gulabi Nagar,
Ghoom Ghoom Ghoomiyo,"['Raja Hasan', 'Sunidhi Chauhan']",13 Mai Gulabi Nagar,https://www.youtube.com/watch?v=AF8XkhiIBdc,['Laxmi - Vasant'],2010,13 Mai Gulabi Nagar,
Roye Dharti,['Jagjit Singh'],13 Mai Gulabi Nagar,https://www.youtube.com/watch?v=A8sEayOgjKI,['Laxmi - Vasant'],2010,13 Mai Gulabi Nagar,
Jis Praani Par Krupa,['Sadhna Sargam'],13 Mai Gulabi Nagar,https://www.youtube.com/watch?v=qf_67EZp1oo,['Laxmi - Vasant'],2010,13 Mai Gulabi Nagar,
Zindagi Se Darte Ho,"['Asheem Chakravarty', 'Rahul Ram', 'Amit Kilam']",16/330 Khajoor Road,http://www.youtube.com/watch?v=hlvg14dX7Zk,['Indian Ocean'],2010,,
Sone Ki Nagri,"['Asheem Chakravarty', 'Rahul Ram', 'Amit Kilam']",16/330 Khajoor Road,http://www.youtube.com/watch?v=VzqRTc1-d2c,['Indian Ocean'],2010,,
Chaand,"['Asheem Chakravarty', 'Rahul Ram', 'Amit Kilam']",16/330 Khajoor Road,http://www.youtube.com/watch?v=X-hItUvM_mg,['Indian Ocean'],2010,,
Shunya,['Asheem Chakravarty'],16/330 Khajoor Road,http://www.youtube.com/watch?v=VzqRTc1-d2c,['Indian Ocean'],2010,,
Bondhu,['Asheem Chakravarty'],16/330 Khajoor Road,http://www.youtube.com/watch?v=1mABXoXjiQ0,['Indian Ocean'],2010,,
Jogiya,"['Asheem Chakravarty', 'Rahul Ram', 'Amit Kilam']",16/330 Khajoor Road,http://www.youtube.com/watch?v=4XanmiPSxDo,['Indian Ocean'],2010,,
Bula Raha,"['Asheem Chakravarty', 'Rahul Ram', 'Amit Kilam']",16/330 Khajoor Road,http://www.youtube.com/watch?v=hfkAPr6nePI,['Indian Ocean'],2010,,
Dil Tujhe Pukare,['Tarannum Mallik'],27-13.20 Nakshatra,https://www.youtube.com/watch?v=WHupTj7yV-s,['Sameer Sen'],2010,27-13.20 Nakshatra,
Meetha Sa Ishq,"['Kailash Kher', ""Suzanne D'Mello""]",A Flat,http://www.youtube.com/watch?v=o80TKIZgPyk,['Bappa Lahiri'],2010,A Flat,
Dil Kashi - I,"['Sonu Nigam', 'Tulsi Kumar', 'Raja Hasan', 'Aditi Singh Sharma']",A Flat,https://www.youtube.com/watch?v=-nEsjuQARBY,['Bappa Lahiri'],2010,A Flat,
Chal Halke Halke,"['Sunidhi Chauhan', 'Raja Hasan', 'Bappa Lahiri']",A Flat,http://www.youtube.com/watch?v=RgiPFnZnjNc,['Bappa Lahiri'],2010,A Flat,
Pyar Itna Naa Kar,['Shreya Ghoshal'],A Flat,http://www.youtube.com/watch?v=H4j1_GC634w,['Bappa Lahiri'],2010,A Flat,
Meetha Sa Ishq (Unplugged),"['Kailash Kher', ""Suzanne D'Mello""]",A Flat,https://www.youtube.com/watch?v=hM_0YgbabNQ,['Bappa Lahiri'],2010,A Flat,
Dil Kashi - II,"['Sonu Nigam', 'Raja Hasan', 'Aditi Singh Sharma']",A Flat,https://www.youtube.com/watch?v=AsiSH2nF8yA,['Bappa Lahiri'],2010,A Flat,
Meetha Sa Ishq (Party Map Remix),"['Kailash Kher', ""Suzanne D'Mello""]",A Flat,https://www.youtube.com/watch?v=vrfWxev_jIM,['Bappa Lahiri'],2010,A Flat,
