title,singers,album,download_link,directors,year,film,cast
#Swagwalibride (Chidiyaan Da Chamba),['Akriti Kakar'],#Swagwalibride,https://www.youtube.com/watch?v=gkGT75qNlW8,"['Traditional', 'Akriti Kakar']",2018,,
10-15 Minute Ke Liye,['Vipin Heero'],10-15 Minute Ke Liye,https://www.youtube.com/watch?v=tq_wnfDyYqU,['Vipin Heero'],2018,,
Bachche Ki Jaan Loge Kya,['Arijit Singh'],102 Not Out,https://www.youtube.com/watch?v=yFsPq2MRQ7E,['Salim - Sulaiman'],2018,102 Not Out,
Badumbaaa,"['Amitabh Bachchan', 'Rishi Kapoor']",102 Not Out,https://www.youtube.com/watch?v=9-kkTYXqmrw,['Amitabh Bachchan'],2018,102 Not Out,
Kulfi,['Sonu Nigam'],102 Not Out,https://www.youtube.com/watch?v=cuts_dcrG5c,['Salim - Sulaiman'],2018,102 Not Out,
Kuch Anokhe Rules,['Armaan Malik'],102 Not Out,https://www.youtube.com/watch?v=NrJ936HMiy8,['Salim - Sulaiman'],2018,102 Not Out,
Phir Laut Aayi Hai Zindagi,['Hiral Brahmbhatt'],102 Not Out,https://www.youtube.com/watch?v=RUr5VoMJi_M,['Hiral Brahmbhatt'],2018,102 Not Out,
Waqt Ne Kiya Kya Hasin Sitam,['Amitabh Bachchan'],102 Not Out,https://www.youtube.com/watch?v=e_GLmDWHEug,"['S.D. Burman', 'Rohan - Vinayak']",2018,102 Not Out,
Sun To Mechanical Sundariye,"['Armaan Malik', 'Shashaa Tirupati']",2.0,https://www.youtube.com/watch?v=e1Ydw7h0dH8,['A.R. Rahman'],2018,2.0,
Bas Tu Hai,"['Arijit Singh', 'Jonita Gandhi']",3 Storeys,https://www.youtube.com/watch?v=R4tKjBGeP2E,['Clinton Cerejo'],2018,3 Storeys,
Raasleela,['Sumedha Karmahe'],3 Storeys,https://www.youtube.com/watch?v=iHQlmzkYuwc,['Amjad - Nadeem'],2018,3 Storeys,
Azaadiyaan,"['Clinton Cerejo', 'Bianca Gomes']",3 Storeys,https://www.youtube.com/watch?v=JRYcHML1AAY,['Clinton Cerejo'],2018,3 Storeys,
360,['Fazilpuria'],360,https://www.youtube.com/watch?v=GhOzVD-uGGc,['Rossh'],2018,,
Na Chah Ke Bhi,"['Vishal Mishra', 'Shirley Setia']",5 Weddings,https://www.youtube.com/watch?v=DF16XAvW0Kc,['Vishal Mishra'],2018,5 Weddings,
American Beauty,"['Mika Singh', 'Miss Pooja', 'Prakriti Kakkar', 'Kaur Sisters']",5 Weddings,https://www.youtube.com/watch?v=-oWpgCQqRTw,['Vibhas'],2018,5 Weddings,
Mujhko Tumse Ishq Ho Gaya Tumko Hona Baaki Hai,"['Sonu Nigam', 'Shreya Ghoshal']",5 Weddings,https://www.youtube.com/watch?v=t3U_BmclLwo,['Vibhas'],2018,5 Weddings,
Taareef,"['Palak Muchhal', 'Romy Tahlie', 'Tanuj (rockonT)']",5 Weddings,https://www.youtube.com/watch?v=T1LMJCe54l8,['Vibhas'],2018,5 Weddings,
Laung Gawacha,"['Saru Maini', 'Arnie B.']",5 Weddings,https://www.youtube.com/watch?v=6LUbfKdmNGc,"['Traditional', 'Viplove Rajdeo']",2018,5 Weddings,
9 O' Clock,"['Vish Jordan', 'Cherry Billa']",9 O' Clock,https://www.youtube.com/watch?v=v44MxZpipTQ,['Cherry Billa'],2018,,
Aa Bhi Ja,['Surixon'],Aa Bhi Ja,https://www.youtube.com/watch?v=ZjJ8NOXWp3k,"['Yaar Billa', 'Happy Beatz']",2018,,
Aahista Aahista,['Neil Ingale'],Aahista Aahista,https://www.youtube.com/watch?v=BQFsw9D5p5Q,['Sugat Dhanvijay'],2018,,
Aaj Jaane Ki Zid Na Karo,['Rahul Jain'],Aaj Jaane Ki Zid Na Karo,https://www.youtube.com/watch?v=yX2-XwdOjHA,"['Rahul Jain', 'Sohail Rana']",2018,,
Aaj Tera Mera Saath Hai,"['Shilpa Surroch', 'Its Your Kunal']",Aaj Tera Mera Saath Hai,https://www.youtube.com/watch?v=g0Qx8CoX3hY,['Its Your Kunal'],2018,,
Aaja Piya,['Aishwarya Majmudar'],Aaja Piya,https://www.youtube.com/watch?v=_sYkuXdJsGg,"['R.D. Burman', 'Rishi Dutta']",2018,,
Aaja Re,['Jatin Udasi'],Aaja Re,https://www.youtube.com/watch?v=GM-2GcTrb8s,"['Rishi - Siddharth', 'Jatin Udasi']",2018,,
Aankh Hai Bhari Bhari (Recreated Version),['Rahul Jain'],Aankh Hai Bhari Bhari (Recreated Version),https://www.youtube.com/watch?v=JLsb3BmbaEU,"['Aayush Jain', 'Jaydeep Hora', 'Nadeem - Shravan']",2018,,
Aankhen - The Last Breath Of Ishq,['Imran Amin'],Aankhen - The Last Breath Of Ishq,https://www.youtube.com/watch?v=hhIJP0sSqcI,['Dilawar Hussain'],2018,,
Aashiyana,"['Shalu - I', 'Danish Khan']",Aashiyana,https://www.youtube.com/watch?v=LSWHKLHkvJY,['AMC Aman'],2018,,
Aasmaan Ban Kar,['Souvik Ganguly'],Aasmaan Ban Kar,https://www.youtube.com/watch?v=QfCyJ8SJrTo,['Kabir - Athar'],2018,,
Aatisha,"['Abhishek Ray', 'Jash']",Aatisha,https://www.youtube.com/watch?v=t3BXGPwDEjY,['Abhishek Ray'],2018,,
Aaya Na Tu,"['Arjun Kanungo', 'Momina Mustehsan']",Aaya Na Tu,https://www.youtube.com/watch?v=PHULePbksEU,['Arjun Kanungo'],2018,,
Aaya Na Tu - Reprise,['Arjun Kanungo'],Aaya Na Tu - Reprise,https://www.youtube.com/watch?v=0aA_C6tI8tE,['Arjun Kanungo'],2018,,
Ab Dil Zara Zara,['Devika Bandana'],Ab Dil Zara Zara,https://www.youtube.com/watch?v=gWiFMwmyWNA,['Yug Bhusal'],2018,,
Adhoori Khwahishein,['Aamir Ali Sultan'],Adhoori Khwahishein,https://www.youtube.com/watch?v=nbjeMdtbFoQ,['Anjana Ankur Singh'],2018,,
Adhoori Thi Baat,['Aakash Dubey'],Adhoori Thi Baat,https://www.youtube.com/watch?v=zG_DJCHDuNo,"['Aakash Dubey', 'ZiDD Crew']",2018,,
