title,singers,album,download_link,directors,year,film,cast
Gumnaam Hai Koi,"['Jubin Nautiyal', 'Antara Mitra']",1920 London,https://www.youtube.com/watch?v=NNkJHuB2-Nw,"['Kaushik - Akash', 'Shankar - Jaikishan']",2016,1920 London,
Aaj Ro Len De,['Sharib Sabri'],1920 London,https://www.youtube.com/watch?v=luK0kFFo7io,['Sharib - Toshi'],2016,1920 London,
Rootha Kyun,"['Sharib - Toshi', 'Mohit Chauhan', 'Payal Dev']",1920 London,https://www.youtube.com/watch?v=_cpU8HPtx4E,['Sharib - Toshi'],2016,1920 London,
Tujhko Main Aankhon Mein Chhupa Loon,"['Sharib - Toshi', 'Shaan']",1920 London,https://www.youtube.com/watch?v=u2Doe3DtwR4,['Sharib - Toshi'],2016,1920 London,
Aafreen Aafreen,"['KK', 'Antara Mitra']",1920 London,https://www.youtube.com/watch?v=HVZbdixD-Oo,"['Kaushik - Akash', 'J.A.M']",2016,1920 London,
Koi Aaye,['Kirti Killedar'],1982 - A Love Marriage,https://www.youtube.com/watch?v=rkNFZz1dRjo,['Anurag - Chinmay'],2016,1982 - A Love Marriage,
Tere Liye,['Chinmay Hulyalkar'],1982 - A Love Marriage,https://www.youtube.com/watch?v=MF7AQcCLgtw,['Anurag - Chinmay'],2016,1982 - A Love Marriage,
Main Baajra Nahin Khaungi,"['Chinmay Hulyalkar', 'Raksha Jadhav']",1982 - A Love Marriage,https://www.youtube.com/watch?v=DVwmXN1wW6k,['Anurag - Chinmay'],2016,1982 - A Love Marriage,
Main B.A. Pass Ladka,['Anurag - Chinmay'],1982 - A Love Marriage,https://www.youtube.com/watch?v=lrCek3w1oNA,['Aditi Jahagirdar'],2016,1982 - A Love Marriage,
Aye Mere Khuda,"['Rahat Fateh Ali Khan', 'Swati Sharrma']",1:13:7 Ek Tera Saath,https://www.youtube.com/watch?v=OsEdfUMeMZY,['Liyakat Ajmeri'],2016,1:13:7 Ek Tera Saath,
Ek Tera Saath,"['Rahat Fateh Ali Khan', 'Swati Sharrma']",1:13:7 Ek Tera Saath,https://www.youtube.com/watch?v=DnJh54YDCsw,['Sunil Singh'],2016,1:13:7 Ek Tera Saath,
Pakeeza,"['Kay Kay', 'Swati Sharrma', 'Ali Aslam']",1:13:7 Ek Tera Saath,https://www.youtube.com/watch?v=7rad0s0wzeM,['Liyakat Ajmeri'],2016,1:13:7 Ek Tera Saath,
Saiyyan,"['Aman Trikha', 'Swati Sharrma']",1:13:7 Ek Tera Saath,https://www.youtube.com/watch?v=1N1lA3AwoJQ,['Ali'],2016,1:13:7 Ek Tera Saath,
Queen,"['Shahid Mallya', 'Bhoomi Trivedi']",1:13:7 Ek Tera Saath,https://www.youtube.com/watch?v=6UnBHYF2Iug,"['Liyakat Ajmeri', 'Nawab Khan']",2016,1:13:7 Ek Tera Saath,
Humsafar,['Swati Sharrma'],1:13:7 Ek Tera Saath,https://www.youtube.com/watch?v=mh7VoP-0jrw,['Sunil Singh'],2016,1:13:7 Ek Tera Saath,
Pagli,"['Meenal Jain', 'Agnel Roman', 'Jatinder Singh Pal']",2016 The End,https://www.youtube.com/watch?v=Vdg-A8XfISM,"['Agnel Roman', 'Faizan Hussain']",2016,2016 The End,
Yara Tere Kutte Fail,['Anuja Sinha'],30 Minutes,https://www.youtube.com/watch?v=CJr37ygboog,['Haroon - I'],2016,30 Minutes,
Tumhe Bhi Meri Yaad,['Jaswinder Singh Bunty'],30 Minutes,https://www.youtube.com/watch?v=5dJCf4BGg_I,['Jaspal Moni'],2016,30 Minutes,
Soona Sara Lage,['Javed Ali'],30 Minutes,https://www.youtube.com/watch?v=lYEbNoqxt8g,['Naresh Vikal'],2016,30 Minutes,
Jadoo Sa Chhaya,"['Kunal Ganjawala', 'Anuja Sinha']",30 Minutes,https://www.youtube.com/watch?v=A8L5usRdM6o,['Ashok Sharma - I'],2016,30 Minutes,
