title,singers,album,download_link,directors,year,film,cast
Apnaa Mujhe Tu Lagaa,['Sonu Nigam'],1920 - Evil Returns,http://www.youtube.com/watch?v=T573FrZQgCY,['Chirantan Bhatt'],2012,1920 - Evil Returns,
Ae Khuda Ae Khuda Jab Bana Uska Hi Bana,['Arijit Singh'],1920 - Evil Returns,http://www.youtube.com/watch?v=NE4d86SFw6I,['Chirantan Bhatt'],2012,1920 - Evil Returns,
Jaavedaan Hai Ishq Tujhse,"['KK', ""Suzanne D'Mello""]",1920 - Evil Returns,http://www.youtube.com/watch?v=cIK-oI3f3x0,['Chirantan Bhatt'],2012,1920 - Evil Returns,
Khud Ko Tere Paas Hi Chhod Aate Hain,['Mahalakshmi Iyer'],1920 - Evil Returns,http://www.youtube.com/watch?v=TTJ9NFgcs-0,['Chirantan Bhatt'],2012,1920 - Evil Returns,
Majboor Tu Bhi Kahin,['Amit Mishra'],1920 - Evil Returns,http://www.youtube.com/watch?v=SY37qwaWajM,['Chirantan Bhatt'],2012,1920 - Evil Returns,
Soul Valley Is Calling You,['Varsha - I'],2 Nights In Soul Valley,http://www.youtube.com/watch?v=BHAWFlQOcbM,['Varsha - I'],2012,2 Nights In Soul Valley,
Milky Way,['Milli Moonstone'],2 Nights In Soul Valley,http://www.youtube.com/watch?v=Nqky7uWuBFw,['Milli Moonstone'],2012,2 Nights In Soul Valley,
Vaadiyon Mein Goonje,['Varsha - I'],2 Nights In Soul Valley,http://www.youtube.com/watch?v=aSpLPfLxgww,['Varsha - I'],2012,2 Nights In Soul Valley,
Why This Kolaveri Di,['Dhanush'],3,http://www.youtube.com/watch?v=YR12Z8f1Dh8,['Anirudh Ravichander'],2012,3,
Dag Mag Dag Mag,"['Shaan', 'Sunidhi Chauhan']",3 Bachelors,http://www.youtube.com/watch?v=AQJiDskMfo8,['Daboo I. Malik'],2012,3 Bachelors,
Dhoom Dhaam,"['Kalpana Chauhan', 'Arvinder Singh']",3 Bachelors,http://www.youtube.com/watch?v=Fcl1wd-y1uw,['Daboo I. Malik'],2012,3 Bachelors,
Shankeriya Shankeriya,"['Vinod Rathod', 'Mou Mukherjee']",3 Bachelors,https://www.youtube.com/watch?v=eqEEBonuHjw,['Daboo I. Malik'],2012,3 Bachelors,
Tera Saath Ho,['Falak Shabir'],7 Welcome To London,http://www.youtube.com/watch?v=LdOMbhTfpWU,['Falak Shabir'],2012,7 Welcome To London,
Paas Aake,['Sohail Haider'],7 Welcome To London,http://www.youtube.com/watch?v=lVEEaw_99KM,['Sohail Haider'],2012,7 Welcome To London,
Yaadan Teri,"['Ashley Clement', 'Asad Ali Khan']",7 Welcome To London,http://www.youtube.com/watch?v=OdOXGNk1iI0,['Access Band'],2012,7 Welcome To London,
Berukhi,['Zuj Jibran'],7 Welcome To London,http://www.youtube.com/watch?v=IOClck4p40E,['Zuj Jibran'],2012,7 Welcome To London,
Rog,['Falak Shabir'],7 Welcome To London,http://www.youtube.com/watch?v=Xya98ipiBNA,['Falak Shabir'],2012,7 Welcome To London,
Hum Adhoore,['Zuj Jibran'],7 Welcome To London,https://www.youtube.com/watch?v=P-mV6sWCeWg,['Zuj Jibran'],2012,7 Welcome To London,
Rog (Remix),['Falak Shabir'],7 Welcome To London,https://www.youtube.com/watch?v=TVP1SrTMJPs,['Falak Shabir'],2012,7 Welcome To London,
Paas Aake (Remix),['Sohail Haider'],7 Welcome To London,http://www.youtube.com/watch?v=PdnvzmluISk,['Sohail Haider'],2012,7 Welcome To London,
Ek Nai Roshni (Aaye Wahi Manzile Bhi),['K. Mohan'],Aalaap,https://www.youtube.com/watch?v=FHeDG3SEXjg,['Agnee'],2012,Aalaap,
Dil Yeh Awaaz De,"['K. Mohan', 'Meera Shenoy']",Aalaap,https://www.youtube.com/watch?v=fYJFFWU0ycY,['Agnee'],2012,Aalaap,
Paa Paraa Paa,"['K. Mohan', 'Bonnie Chakraborty', ""Nikhil D'Souza"", 'Dhruv Shrikent']",Aalaap,https://www.youtube.com/watch?v=PErz7DJGSyI,['Agnee'],2012,Aalaap,
Soniye Soniye,['K. Mohan'],Aalaap,https://www.youtube.com/watch?v=UiCNg5jVGhw,['Agnee'],2012,Aalaap,
Chadhti Jawaani,"['Bonnie Chakraborty', 'Kanika Joshi']",Aalaap,https://www.youtube.com/watch?v=qVH45-luAKI,['Agnee'],2012,Aalaap,
I'll Do The Talking Tonight,"['Neeraj Shridhar', 'Aditi Singh Sharma', 'Shefali Alvares', 'Barbie Amod']",Agent Vinod,https://www.youtube.com/watch?v=ViPQgsjytjY,['Pritam'],2012,Agent Vinod,
Dil Mera Muft Ka,"['Nandini Srikar', 'Rizwan - Muazzam', 'Shadab Faridi', 'Altamash Faridi', 'Shabab Sabri']",Agent Vinod,https://www.youtube.com/watch?v=UZCOnDuL6pM,['Pritam'],2012,Agent Vinod,
Raabta (Siyaah Raatein),"['Hamsika Iyer', 'Arijit Singh', 'Joi Barua']",Agent Vinod,https://www.youtube.com/watch?v=tbXNVm8CXxg,['Pritam'],2012,Agent Vinod,
Pungi,"['Mika Singh', 'Amitabh Bhattacharya', 'Nakash Aziz', 'Pritam']",Agent Vinod,http://www.youtube.com/watch?v=Sjh1PQ9B73Y&feature=plcp,['Pritam'],2012,Agent Vinod,
I'll Do The Talking Tonight (Remix),"['Neeraj Shridhar', 'Aditi Singh Sharma', 'Shefali Alvares', 'Barbie Amod']",Agent Vinod,https://www.youtube.com/watch?v=o4deVV2ulqI,['Pritam'],2012,Agent Vinod,
Raabta (Night In A Motel),"['Aditi Singh Sharma', 'Arijit Singh']",Agent Vinod,https://www.youtube.com/watch?v=-d9nvq3402M,['Pritam'],2012,Agent Vinod,
Raabta,['Arijit Singh'],Agent Vinod,http://www.youtube.com/watch?v=zlt38OOqwDc,['Pritam'],2012,Agent Vinod,
Dil Mera Muft Ka (Remix),['Malini Awasthi'],Agent Vinod,https://www.youtube.com/watch?v=nKGmBi5t0QE,['Pritam'],2012,Agent Vinod,
Raabta (Kehte Hain Khuda Ne),"['Shreya Ghoshal', 'Arijit Singh']",Agent Vinod,https://www.youtube.com/watch?v=aVPwXQgY2QI,['Pritam'],2012,Agent Vinod,
Govind Bolo Gopal Bolo,['Subhajit Mukherjee'],Agent Vinod,https://www.youtube.com/watch?v=mNl07SmPv7k,['Pritam'],2012,Agent Vinod,
