title,singers,album,download_link,directors,year,film,cast
Tera Chehra Hai Aaeene Jaisa,['Jagjit Singh'],Aaeena,http://www.youtube.com/watch?v=6mA_eb-bOw4,['Jagjit Singh'],2000,,
Uski Baatein To Phool Hon Jaise - I,['Jagjit Singh'],Aaeena,http://www.youtube.com/watch?v=bkuVq4wOgyM,['Jagjit Singh'],2000,,
Ghar Se Nikle The Hausala Karke,['Jagjit Singh'],Aaeena,https://www.youtube.com/watch?v=-wF1Hh9XCvM,['Jagjit Singh'],2000,,
Phir Nazar Se Pila Dijiye,['Jagjit Singh'],Aaeena,http://www.youtube.com/watch?v=2KzI62WC380,['Jagjit Singh'],2000,,
Muskurakar Mila Karo Humse,['Jagjit Singh'],Aaeena,http://www.youtube.com/watch?v=JxNNomrYLXs,['Jagjit Singh'],2000,,
Baadal Ki Tarah Jhoom Ke,['Jagjit Singh'],Aaeena,http://www.youtube.com/watch?v=ofEJOM6-gqA,['Jagjit Singh'],2000,,
Mann Tera Mera Mann,"['Babul Supriyo', 'Alka Yagnik']",Aaghaaz,http://www.youtube.com/watch?v=8UtDBhAcmks,['Anu Malik'],2000,Aaghaaz,
Dosti Ho Gayi Re,"['Sonu Nigam', 'Sunidhi Chauhan']",Aaghaaz,http://www.youtube.com/watch?v=a03M0jY2zIA,['Anu Malik'],2000,Aaghaaz,
Nau Nau Lakha,"['Hema Sardesai', 'Sunidhi Chauhan', 'Kumar Sanu', 'Rahul - III']",Aaghaaz,http://www.youtube.com/watch?v=NNtR_H7h3F0,['Anu Malik'],2000,Aaghaaz,
Dil Dil Dil (Female),['Hema Sardesai'],Aaghaaz,http://www.youtube.com/watch?v=n-aD5iE1sEM,['Anu Malik'],2000,Aaghaaz,
Yaad Karne Se,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=6WE7KUchLWg,['Nikhil - Vinay'],2000,,
Koi Lauta De Woh,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=t5MsQVgVCM0,['Nikhil - Vinay'],2000,,
Kya Yahi Pyar Hai,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=H-jkwFPSMBM,['Nikhil - Vinay'],2000,,
Tum Saath Do,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=uIi65cOK4S0,['Nikhil - Vinay'],2000,,
Tujhe Dekha,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=j_0xhPiXMTY,['Nikhil - Vinay'],2000,,
Tu Meri Chahat Hai,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=F9A54TUCeRg,['Nikhil - Vinay'],2000,,
Bahut Yaad Aati Hai,['Abhijeet'],Aashiqui,http://www.youtube.com/watch?v=EpKCZnjjEYM,['Nikhil - Vinay'],2000,,
