title,singers,album,download_link,directors,year,film,cast
Sab Khairiyat Hai,['Shankar Mahadevan'],13B,https://www.youtube.com/watch?v=ti0BadEvWmg,['Shankar - Ehsaan - Loy'],2009,13B,
Bade Se Shehar Mein,['Karthik'],13B,http://www.youtube.com/watch?v=3MzBrwaRK0I,['Shankar - Ehsaan - Loy'],2009,13B,
Aasma Odh Kar,"['Shankar Mahadevan', 'K.S. Chitra']",13B,https://www.youtube.com/watch?v=zorO0UVH7ZY,['Shankar - Ehsaan - Loy'],2009,13B,
Oh Sexy Mama,"['Baba Sehgal', 'Anushka Manchanda', 'Loy Mendonsa']",13B,http://www.youtube.com/watch?v=Z6eOX7VRpa0,['Shankar - Ehsaan - Loy'],2009,13B,
Aal Izz Well,"['Sonu Nigam', 'Shaan', 'Swanand Kirkire']",3 Idiots,https://www.youtube.com/watch?v=S-LltgOtFSg,['Shantanu Moitra'],2009,3 Idiots,
Zoobi Doobi,"['Sonu Nigam', 'Shreya Ghoshal']",3 Idiots,https://www.youtube.com/watch?v=yJ1uLVgv3Vg,['Shantanu Moitra'],2009,3 Idiots,
Behti Hawa Sa Tha Woh,"['Shaan', 'Shantanu Moitra']",3 Idiots,http://www.youtube.com/watch?v=XdbjtoMkerU&feature=plcp,['Shantanu Moitra'],2009,3 Idiots,
Give Me Some Sunshine,"['Suraj Jagan', 'Sharman Joshi']",3 Idiots,http://www.youtube.com/watch?v=HZu3bXWhnX4&feature=plcp,['Shantanu Moitra'],2009,3 Idiots,
Jaane Nahin Denge Tujhe,['Sonu Nigam'],3 Idiots,http://www.youtube.com/watch?v=_svykdZMvJA&feature=plcp,['Shantanu Moitra'],2009,3 Idiots,
Zoobi Doobi (Remix),"['Sonu Nigam', 'Shreya Ghoshal']",3 Idiots,http://www.youtube.com/watch?v=OaYO86BfsI4&feature=plcp,['Shantanu Moitra'],2009,3 Idiots,
Aal Izz Well (Remix),"['Sonu Nigam', 'Shaan', 'Swanand Kirkire']",3 Idiots,http://www.youtube.com/watch?v=1HpHV8sXdgY&feature=plcp,['Shantanu Moitra'],2009,3 Idiots,
Nazaara Hai,['Vishal Dadlani'],8x10 Tasveer,http://www.youtube.com/watch?v=_WILESjIqf4,['Salim - Sulaiman'],2009,8x10 Tasveer,
Haafiz Khuda,"['Mohit Chauhan', 'Tulsi Kumar']",8x10 Tasveer,http://www.youtube.com/watch?v=hgKKbkTG7AQ,['Salim - Sulaiman'],2009,8x10 Tasveer,
Aaja Maahi,"['Neeraj Shridhar', 'Tulsi Kumar']",8x10 Tasveer,http://www.youtube.com/watch?v=aiq9UYJg-lU,['Neeraj Shridhar'],2009,8x10 Tasveer,
I Got The Picture,['Bohemia'],8x10 Tasveer,https://www.youtube.com/watch?v=EnEepNZmL9k,['Bohemia'],2009,8x10 Tasveer,
Kuchh Iss Tarah,"['Mohit Chauhan', 'Tulsi Kumar']",8x10 Tasveer,https://www.youtube.com/watch?v=elJOAT8Ywow,['Salim - Sulaiman'],2009,8x10 Tasveer,
Haafiz Khuda (Remix),"['Mohit Chauhan', 'Tulsi Kumar']",8x10 Tasveer,https://www.youtube.com/watch?v=DTZ0QXdWG5A,['Salim - Sulaiman'],2009,8x10 Tasveer,
Nazaara Hai (Remix),['Vishal Dadlani'],8x10 Tasveer,https://www.youtube.com/watch?v=-6iZO4WJhCI,['Salim - Sulaiman'],2009,8x10 Tasveer,
Aaja Maahi (Remix),"['Neeraj Shridhar', 'Tulsi Kumar']",8x10 Tasveer,http://www.youtube.com/watch?v=CRSHDP5-o_0,['Neeraj Shridhar'],2009,8x10 Tasveer,
I Got The Picture (Remix),['Bohemia'],8x10 Tasveer,https://www.youtube.com/watch?v=hQZtXR8MF98,['Bohemia'],2009,8x10 Tasveer,
Kuchh Iss Tarah (Remix),"['Mohit Chauhan', 'Tulsi Kumar']",8x10 Tasveer,https://www.youtube.com/watch?v=_7BPFozCH2w,['Salim - Sulaiman'],2009,8x10 Tasveer,
Tasveer Teri (Mit Jayenge Hum),['Javed Ali'],8x10 Tasveer,https://www.youtube.com/watch?v=0hbTUGW-UJs,['Ismail Darbar'],2009,8x10 Tasveer,
Delhi Destiny,"['Raja Hasan', 'Ashu']",99,https://www.youtube.com/watch?v=6u5WdavH0nU,['Ashu'],2009,99,
Soch Mat Dobara,"['Bonnie Chakraborty', ""Earl Edgar D'Souza""]",99,https://www.youtube.com/watch?v=STipJJWKBAU,['Roshan Machado'],2009,99,
What's Up,"['KK', 'Sunidhi Chauhan']",99,https://www.youtube.com/watch?v=F05Fk2GMYjw,['Shamir Tandon'],2009,99,
Punjabi Size,"['Labh Janjua', 'KK', 'Roopa - I', 'Kalyani - III']",99,https://www.youtube.com/watch?v=AW-gSw80gUA,['Mahesh Shankar'],2009,99,
Kal Ki Tarah,"['Shaan', 'Sunidhi Chauhan']",99,https://www.youtube.com/watch?v=GjuC-u_sIJg,['Ashu'],2009,99,
99 Theme,['Bonnie Chakraborty'],99,https://www.youtube.com/watch?v=ZNvN8IT_I40,['Roshan Machado'],2009,99,
What's Up (Grooving Blues Mix),"['KK', 'Sunidhi Chauhan']",99,https://www.youtube.com/watch?v=j7nPbOx2pPo,['Shamir Tandon'],2009,99,
Delhi Destiny (Spice Mix),"['Raja Hasan', 'Ashu']",99,https://www.youtube.com/watch?v=85CSQsjYc-k,['Ashu'],2009,99,
What's Up (Dance Mix),"['Raaj Gopal Iyer', 'Sunidhi Chauhan']",99,https://www.youtube.com/watch?v=85CSQsjYc-k,['Shamir Tandon'],2009,99,
Gazab,"['Sunidhi Chauhan', 'Shaan']",Aa Dekhen Zara,http://www.youtube.com/watch?v=7fcUYPGl6A8,['Pritam'],2009,Aa Dekhen Zara,
Rock The Party,"['Sunidhi Chauhan', 'Shweta Vijay']",Aa Dekhen Zara,http://www.youtube.com/watch?v=T0hX2zgo360,['Gourav Dasgupta'],2009,Aa Dekhen Zara,
Paisa Hai Power,['Dibyendu Mukherjee'],Aa Dekhen Zara,http://www.youtube.com/watch?v=rK-OdPY6IeQ,['Gourav Dasgupta'],2009,Aa Dekhen Zara,
Aa Dekhen Zara (Lounge Mix),"['Dibyendu Mukherjee', 'Shweta Vijay']",Aa Dekhen Zara,https://www.youtube.com/watch?v=lVr9mgf23gQ,"['Gourav Dasgupta', 'R.D. Burman']",2009,Aa Dekhen Zara,
Mohabbat Aap Se,['Akriti Kakar'],Aa Dekhen Zara,http://www.youtube.com/watch?v=40c4M0RwbVc,['Pritam'],2009,Aa Dekhen Zara,
Paisa Hai Power (Club Mix),['Dibyendu Mukherjee'],Aa Dekhen Zara,https://www.youtube.com/watch?v=GPTGIh0fwKE,['Gourav Dasgupta'],2009,Aa Dekhen Zara,
Gazab (Club Mix),"['Sunidhi Chauhan', 'Shaan']",Aa Dekhen Zara,https://www.youtube.com/watch?v=yrPALAwaBxI,['Pritam'],2009,Aa Dekhen Zara,
Aa Dekhen Zara,"['Neil Nitin Mukesh', 'Sunaina - I']",Aa Dekhen Zara,http://www.youtube.com/watch?v=fpNx-Osf_9Q,"['Gourav Dasgupta', 'R.D. Burman']",2009,Aa Dekhen Zara,
Mahiya,"['Shilpa Rao', 'Clinton Cerejo']",Aagey Se Right,https://www.youtube.com/watch?v=exozccTK2ws,['Amartya Rahut'],2009,Aagey Se Right,
More Piya - Tapori,"['Deepikkaa Bhattacharya', 'Kay Kay Menon']",Aagey Se Right,https://www.youtube.com/watch?v=40JgJtuf93M,['Amartya Rahut'],2009,Aagey Se Right,
More Piya - Bar,['Deepikkaa Bhattacharya'],Aagey Se Right,https://www.youtube.com/watch?v=I0GhuR8k-D0,['Amartya Rahut'],2009,Aagey Se Right,
Jabse Hum Hue Jawaan,"['Sumedha Karmahe', 'Sumitra Iyer', 'Sharon Aamir']",Aamras,https://www.youtube.com/watch?v=toAtCQ06oUw,['Shamir Tandon'],2009,Aamras,
We Are The Teen Queens - Club Mix,"['Anushka Manchanda', 'Pratichee Mohapatra', 'Mahua Kamat']",Aamras,https://www.youtube.com/watch?v=7y3cBuy-BHU,['Shamir Tandon'],2009,Aamras,
Chhote Chhote Pairon Ke Tale,['Kailash Kher'],Aamras,https://www.youtube.com/watch?v=GzzUQ__tr40,['Tabun Sutradhar'],2009,Aamras,
Sambhali Hai Kitne Dino Se,['Shweta Pandit'],Aamras,https://www.youtube.com/watch?v=frypxoB0nNc,['Tabun Sutradhar'],2009,Aamras,
Koi Kuch Bhi Soche,['Vasundhara Das'],Aamras,https://www.youtube.com/watch?v=39PqUwl7J_s,['Tabun Sutradhar'],2009,Aamras,
