title,singers,album,download_link,directors,year,film,cast
Besharam Ho Gaye Hum,['Kalpana - I'],88 Antop Hill,https://www.youtube.com/watch?v=d70U3og7OuI,['Rajesh Roy'],2003,88 Antop Hill,
Aapki Yaad Aaye To (Happy),"['Sonu Nigam', 'Anuradha Paudwal']",Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=p40F-qh76NE&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Kuch Bhi Naa Kaha,"['Sonu Nigam', 'Anuradha Paudwal']",Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=f3LghdnEh9k&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Aapko Pehle Bhi Kahin Dekha Hai,"['Udit Narayan', 'Alka Yagnik']",Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=X2dkr32k_48&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Aapki Yaad Aaye To (Sad),"['Shaan', 'Anuradha Paudwal']",Aapko Pehle Bhi Kahin Dekha Hai,https://www.youtube.com/watch?v=bLqhyGgs2qY,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Aisi Aankhen Nahin Dekhin,"['Jagjit Singh', 'Asha Bhosle']",Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=J930xJuNOv8&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Barsaat,['Udit Narayan'],Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=VI_X9kLhfRc&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Sajna Main Haari,['Harshdeep Kaur'],Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=gMCK8mREMro&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Dil Gaya Kaam Se,['Alisha Chinai'],Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=w4oF924NvwI&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Baba Ki Rani Hoon,['Alka Yagnik'],Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=at7u9SWc22Q&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Ishq To Jadoo Hai,"['Sonu Nigam', 'Alisha Chinai']",Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=dGEeaWrYiH8&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Chhote (The Alternate Trip),['Sonu Nigam'],Aapko Pehle Bhi Kahin Dekha Hai,https://www.youtube.com/watch?v=CPBJTuPaKmc,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Kabhi Khann Khann,"['Udit Narayan', 'Alka Yagnik', 'S.P. Sailaja']",Aapko Pehle Bhi Kahin Dekha Hai,http://www.youtube.com/watch?v=swfOETH1-bg&feature=plcp,['Nikhil - Vinay'],2003,Aapko Pehle Bhi Kahin Dekha Hai,
Aaj Maine,['Pankaj Udhas'],Afsana,http://www.youtube.com/watch?v=KUB5SLAeu8Y,['Pankaj Udhas'],2003,,
Mujh Jaisa,['Pankaj Udhas'],Afsana,http://www.youtube.com/watch?v=7t-cVuWJ-Xc,['Pankaj Udhas'],2003,,
Sawan Ke,['Pankaj Udhas'],Afsana,http://www.youtube.com/watch?v=l9UBZX_uwT4,['Pankaj Udhas'],2003,,
Khuda Ne,['Pankaj Udhas'],Afsana,http://www.youtube.com/watch?v=ehPxsBGIbDg,['Pankaj Udhas'],2003,,
Aman Ke Farishte,['Javed Jaffrey'],Aman Ke Farishtey,https://www.youtube.com/watch?v=MwmS2zmYfos,['Bappi Lahiri'],2003,Aman Ke Farishtey,
Babli Babli Babli,"['Hema Sardesai', 'Sudesh Bhosle']",Aman Ke Farishtey,https://www.youtube.com/watch?v=EjwSKQHq-JY,['Bappi Lahiri'],2003,Aman Ke Farishtey,
Bom Mat Maarna,"['Amit Kumar', 'Sarika Kapoor']",Aman Ke Farishtey,https://www.youtube.com/watch?v=eDcj03-ij2s,['Bappi Lahiri'],2003,Aman Ke Farishtey,
Maiya Teri Jyot Jale,['Mohammed Aziz'],Aman Ke Farishtey,https://www.youtube.com/watch?v=gFZ4lNHOuYg,['Bappi Lahiri'],2003,Aman Ke Farishtey,
Mile Jo Dil Se Dil,['Anupama Deshpande'],Aman Ke Farishtey,https://www.youtube.com/watch?v=Zlh-V6Oc-Ak,['Bappi Lahiri'],2003,Aman Ke Farishtey,
Aaj Kehna Zaroori Hai,"['Alka Yagnik', 'Udit Narayan']",Andaaz,https://www.youtube.com/watch?v=rgqeiEqU77s,['Nadeem - Shravan'],2003,Andaaz,
Aayega Maza Ab Barsaat Ka,"['Alka Yagnik', 'Babul Supriyo']",Andaaz,https://www.youtube.com/watch?v=Rcu2AAjdTjE,['Nadeem - Shravan'],2003,Andaaz,
Allah Kare Dil Na Lage Kisise,"['Alka Yagnik', 'Sonu Nigam']",Andaaz,https://www.youtube.com/watch?v=_zk4Medsrwk,['Nadeem - Shravan'],2003,Andaaz,
Kisise Tum Pyar Karo,"['Alka Yagnik', 'Kumar Sanu']",Andaaz,https://www.youtube.com/watch?v=-lDmXk8pBNI,['Nadeem - Shravan'],2003,Andaaz,
Kitna Pagal Dil Hai (Male),['Kumar Sanu'],Andaaz,https://www.youtube.com/watch?v=5Ue85EzaU9k,['Nadeem - Shravan'],2003,Andaaz,
Rabba Ishq Na Hove,"['Alka Yagnik', 'Kailash Kher', 'Sapna Mukherjee', 'Sonu Nigam']",Andaaz,https://www.youtube.com/watch?v=ucVAxkT7Ejk,['Nadeem - Shravan'],2003,Andaaz,
Shala La Baby,"['Alka Yagnik', 'Shaan']",Andaaz,https://www.youtube.com/watch?v=cJHMyKYPfcQ,['Nadeem - Shravan'],2003,Andaaz,
Mere Dil Ka Tumse Yeh Kehna,['K.S. Chitra'],Armaan,http://www.youtube.com/watch?v=2Mug-mEuq9s,['Shankar - Ehsaan - Loy'],2003,Armaan,
Meri Zindagi Mein Aaye Ho,"['Sonu Nigam', 'Sunidhi Chauhan']",Armaan,http://www.youtube.com/watch?v=RMqp2f880Uk,['Shankar - Ehsaan - Loy'],2003,Armaan,
Tu Hi Bata Zindagi (Male),['Roop Kumar Rathod'],Armaan,http://www.youtube.com/watch?v=CGcSfE3ITK0,['Shankar - Ehsaan - Loy'],2003,Armaan,
Jaane Yeh Kya Ho Gaya,"['Alka Yagnik', 'Shankar Mahadevan']",Armaan,http://www.youtube.com/watch?v=Mfp7ckTWLw0,['Shankar - Ehsaan - Loy'],2003,Armaan,
Aao Milke Gaayen Aisa Gaana,"['Mahalakshmi Iyer', 'Shankar Mahadevan', 'Udit Narayan', 'Amitabh Bachchan']",Armaan,http://www.youtube.com/watch?v=JeWL6zkbx60,['Shankar - Ehsaan - Loy'],2003,Armaan,
Tu Hi Bata Zindagi (Female),['Shreya Ghoshal'],Armaan,https://www.youtube.com/watch?v=LgTzlGFVmRA,['Shankar - Ehsaan - Loy'],2003,Armaan,
Main Gaoon Tum Gao,"['Mahalakshmi Iyer', 'Shaan', 'Udit Narayan']",Armaan,https://www.youtube.com/watch?v=DgMDt7FefSs,['Shankar - Ehsaan - Loy'],2003,Armaan,
Ae Subah Tu Shabnami (Happy),"['Roop Kumar Rathod', 'Sadhna Sargam']",Baaz: A Bird in Danger,https://www.youtube.com/watch?v=seZt6WbKQNQ,['Ismail Darbar'],2003,Baaz: A Bird in Danger,
Chehre Pe,['Sukhwinder Singh'],Baaz: A Bird in Danger,https://www.youtube.com/watch?v=vfgmVojPNA4,['Ismail Darbar'],2003,Baaz: A Bird in Danger,
Arre Arre Jala Koi Mita Koi,"['Sunidhi Chauhan', 'Kailash Kher']",Baaz: A Bird in Danger,https://www.youtube.com/watch?v=CUOmeWrlqc0,['Ismail Darbar'],2003,Baaz: A Bird in Danger,
Sannate Mein (Female),['Sunidhi Chauhan'],Baaz: A Bird in Danger,https://www.youtube.com/watch?v=IdGu76EnlBY,['Ismail Darbar'],2003,Baaz: A Bird in Danger,
Tujhe Paake,"['Kavita Krishnamurthy', 'Mohammad Salamat']",Baaz: A Bird in Danger,https://www.youtube.com/watch?v=gKPeC5QRWXY,['Ismail Darbar'],2003,Baaz: A Bird in Danger,
Ae Subah Tu Shabnami (Sad),['Sadhna Sargam'],Baaz: A Bird in Danger,https://www.youtube.com/watch?v=V5Q3_MxmBL8,['Ismail Darbar'],2003,Baaz: A Bird in Danger,
Pehle Kabhi Na Mera Haal,"['Udit Narayan', 'Alka Yagnik']",Baghban,http://www.youtube.com/watch?v=OtKa_eN88Qo,['Aadesh Shrivastava'],2003,Baghban,
Chali Chali Phir Chali Chali,"['Amitabh Bachchan', 'Alka Yagnik', 'Hema Sardesai', 'Aadesh Shrivastava']",Baghban,http://www.youtube.com/watch?v=VhsnyVMxRWo,['Aadesh Shrivastava'],2003,Baghban,
Main Yahan Tu Wahan,"['Amitabh Bachchan', 'Alka Yagnik']",Baghban,http://www.youtube.com/watch?v=himlbsMN4g8,['Aadesh Shrivastava'],2003,Baghban,
Meri Makhna Meri Soniye,"['Sudesh Bhosle', 'Alka Yagnik']",Baghban,http://www.youtube.com/watch?v=hrbbkH2TgCA,['Aadesh Shrivastava'],2003,Baghban,
O Dharti Tarse Ambar Barse,"['Amitabh Bachchan', 'Richa Sharma']",Baghban,https://www.youtube.com/watch?v=p_1PMXRe1x0,['Aadesh Shrivastava'],2003,Baghban,
Hori Khele Raghuveera,"['Amitabh Bachchan', 'Alka Yagnik', 'Sukhwinder Singh', 'Udit Narayan']",Baghban,http://www.youtube.com/watch?v=87FYp3YLEBM,['Aadesh Shrivastava'],2003,Baghban,
Om Jai Jagdish (Aarti),"['Udit Narayan', 'Sneha Pant']",Baghban,https://www.youtube.com/watch?v=jEd9vMgz92c,['Aadesh Shrivastava'],2003,Baghban,
Chali Chali Phir Chali,"['Aadesh Shrivastava', 'Hema Sardesai']",Baghban,https://www.youtube.com/watch?v=zZLmg1bssDA,['Aadesh Shrivastava'],2003,Baghban,
Sohne Des Punjab,['Gurdas Maan'],Banana Brothers,https://www.youtube.com/watch?v=4OYHlFKpYwY,['Jaidev Kumar'],2003,Banana Brothers,
Khushi Aaye To Peena,['Abhijeet'],Banana Brothers,https://www.youtube.com/watch?v=EbFB8Qz13iI,['Jaidev Kumar'],2003,Banana Brothers,
I Am In Love,"['Gursewak Mann', 'Hema Sardesai']",Banana Brothers,https://www.youtube.com/watch?v=eRS40Yb2NQA,['Jaidev Kumar'],2003,Banana Brothers,
Ye Kaisa Ehsaas Hai,"['Mahalakshmi Iyer', 'KK']",Bas Yun Hi,https://www.youtube.com/watch?v=P4bSpk3Ta08,['Rajeev - Merlin'],2003,Bas Yun Hi,
Gin Gin Kaise Kaate Hai Din,['Sunidhi Chauhan'],Basti,https://www.youtube.com/watch?v=1njqDXiNJZI,['Milind Sagar'],2003,Basti,
Bhoot Hoon Main,"['Sunidhi Chauhan', 'Vijay Prakash', 'Salim Merchant']",Bhoot,https://www.youtube.com/watch?v=JogpUjH4iT8,['Salim - Sulaiman'],2003,Bhoot,
Yeh Sard Aahen Meri,['Gayatri Iyer'],Bhoot,https://www.youtube.com/watch?v=X7NdmwDjBPA,['Anand Raj Anand'],2003,Bhoot,
