title,singers,album,download_link,directors,year,film,cast
Dil Hai Tanha,['Raghav Sachar'],24 Carat,http://www.youtube.com/watch?v=twf7SlKiTQU,['Raghav Sachar'],2005,,
Aao Nee Kudiyon,['Sunidhi Chauhan'],7 1/2 Phere,https://www.youtube.com/watch?v=v4OeYvgRaGM,['Shantanu Moitra'],2005,7 1/2 Phere,
Kyun Aaj Kal,['Antara Chowdhury'],7 1/2 Phere,https://www.youtube.com/watch?v=1Dk76Pe9mKw,['Shantanu Moitra'],2005,7 1/2 Phere,
Miss Savitri,['Jaspinder Narula'],Aankhon Mein Sapne Liye,http://www.youtube.com/watch?v=hvK6wWE7DCQ,['Nilu Niranjana'],2005,Aankhon Mein Sapne Liye,
Naa Naa Naa Naa Karte,"['Amit Kumar', 'Kavita Krishnamurthy']",Aankhon Mein Sapne Liye,http://www.youtube.com/watch?v=dfSKW0OTJ4c,['Nilu Niranjana'],2005,Aankhon Mein Sapne Liye,
Maria,['Asha Bhosle'],Aankhon Mein Sapne Liye,http://www.youtube.com/watch?v=y_5OYJ_Qtlo,['Nilu Niranjana'],2005,Aankhon Mein Sapne Liye,
Jai Durgamata,['Anuradha Paudwal'],Aankhon Mein Sapne Liye,http://www.youtube.com/watch?v=NMwLyoFLc48,['Nilu Niranjana'],2005,Aankhon Mein Sapne Liye,
Nafrat Aur Chahat,['Kavita Krishnamurthy'],Aankhon Mein Sapne Liye,http://www.youtube.com/watch?v=8JKl4IJitcQ,['Nilu Niranjana'],2005,Aankhon Mein Sapne Liye,
Bhagam Bhag,['Amit Kumar'],Aankhon Mein Sapne Liye,http://www.youtube.com/watch?v=sOBvWEkYhTY,['Nilu Niranjana'],2005,Aankhon Mein Sapne Liye,
Mohabbatein Lutaaunga,['Abhijeet Sawant'],Aapka Abhijeet Sawant,https://www.youtube.com/watch?v=txwPmjrz0co,['Biddu'],2005,,
Lafzon Mein,['Abhijeet Sawant'],Aapka Abhijeet Sawant,https://www.youtube.com/watch?v=SSFZHqu5fCo,['Biddu'],2005,,
Kya Tujhe Pata Hai,['Abhijeet Sawant'],Aapka Abhijeet Sawant,https://www.youtube.com/watch?v=A7t6vpsic5c,"['Prempal Hans', 'Hardeep Sidhu']",2005,,
Aashiq Banaya Aapne,"['Himesh Reshammiya', 'Shreya Ghoshal']",Aashiq Banaya Aapne,http://www.youtube.com/watch?v=0bAVd9jJE2Q&feature=plcp,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Mar Jaawan Mit Jaawan,"['Sunidhi Chauhan', 'Abhijeet Sawant']",Aashiq Banaya Aapne,http://www.youtube.com/watch?v=XpSicjw4v_U&feature=plcp,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Aap Ki Kashish,"['Himesh Reshammiya', 'Krishna Beura', 'Ahir']",Aashiq Banaya Aapne,http://www.youtube.com/watch?v=t2p022aySKw&feature=plcp,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Dilnashin Dilnashin,['KK'],Aashiq Banaya Aapne,http://www.youtube.com/watch?v=c8TqlaLU7gg&feature=plcp,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Aashiq Banaya Aapne - Remix,['Himesh Reshammiya'],Aashiq Banaya Aapne,http://www.youtube.com/watch?v=al1Rlto5o6E&feature=plcp,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Dillagi Mein Jo Beet Jaaye,"['Jayesh Gandhi', 'Shaan', 'Sonu Nigam', 'Sunidhi Chauhan', 'Himesh Reshammiya', 'Vasundhara Das']",Aashiq Banaya Aapne,http://www.youtube.com/watch?v=fc0VL7mGs5g&feature=plcp,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Aap Ki Kashish (Male),['Himesh Reshammiya'],Aashiq Banaya Aapne,https://www.youtube.com/watch?v=qfbGAWK-SGM,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Dilnashin Dilnashin (Remix),['KK'],Aashiq Banaya Aapne,https://www.youtube.com/watch?v=I5oIsPbefSE,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
Aap Ki Kashish - Remix,"['Himesh Reshammiya', 'Ahir']",Aashiq Banaya Aapne,https://www.youtube.com/watch?v=nwcfgd_q4ws,['Himesh Reshammiya'],2005,Aashiq Banaya Aapne,
